"RehaLG";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"MAHD (Tage)";"Anzahl Pflegetage"
"Muskuloskelettal";5213;71.9407251103012;41.6267024745828;21.7231920199501;109650
"Neurologisch";2428;67.1025535420099;31.3426688632619;37.7627677100494;84573
"Querschnittslähmung";166;58.6024096385542;23.4939759036145;45.4879518072289;6868
"Kardiovaskulär";1403;69.6222380612972;31.8602993585175;21.8474697077691;29937
"Pulmonal";661;67.661119515885;27.6853252647504;20.9243570347958;13389
"Internistisch-onkologisch";1319;68.5223654283548;35.1781652767248;20.4192570128886;26051
"Psychosomatisch-sozialmedizinisch";532;49.7199248120301;16.9172932330827;34.1203007518797;17519
"Neurologisch inkl. Neuro-orthopädisch (Kinder)";35;7.57142857142857;20;46.2;1790
"Allgemein pädiatrisch";36;9.97222222222222;11.1111111111111;51.0833333333333;1796
"Übrige Rehabilitation";390;66.0871794871795;36.6666666666667;24.7025641025641;
"Total Zürcher PatientInnen";12183;68.3997373389149;35.3607485840926;25.8671919888369;291573
