"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Zürcher RehaZentren";69539.311;71281.223;67105.979;-5.8574247526589
"RehaClinic Zollikerberg";8665.246;8700.593;8267.291;-4.98014330747341
"RehaClinic Kilchberg";10083.585;9921.558;9488.007;-4.36978748700558
"RehaClinic Limmattal";;1056.997;4267.089;303.699253640266
"Total Kanton Zürich";88288.142;90960.371;89128.366;-2.0140694017178
"RehaClinic Zurzach";65442.995;65035.002;;-0.623432653105194
"RehaClinic Baden";14011.947;14782.461;;5.49897883570356
"Rehaklinik Bellikon";80591.398;91333.858;;13.3295367329402
"aarReha Schinznach";25759.054;30569.555;;18.6749909371672
"Reha Rheinfelden";57251.974;62605.257;;9.35039025903281
"Klinik Gais";24367.691;27320.198;;12.1164824356973
"Rheinburg-Klinik";21257.993;20304.198;;-4.48675940386283
"REHAB Basel";59432.57;60059.504;;1.05486604398901
"Rehaklinik Seewis";8896.545;9755.956;;9.66005342523417
"Kliniken Valens, Rehazentrum Valens";66708.921;68238.597;;2.29306062378072
"Rehaklinik Dussnang";24861.816;24671.737;;-0.764541898307014
"Rehaklinik Zihlschlacht";51446.992;52641.108;;2.3210608697978
