"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Zürcher RehaZentren";1.29995641748232;93.0975307291477;0;5.60251285337
"RehaClinic Zollikerberg";5.26514176844155;94.4757855815129;0;0.259072650045505
"RehaClinic Kilchberg";3.36864583555473;96.1148345429109;0;0.516519621534339
"RehaClinic Limmattal";2.05532383672694;97.8152813397018;0;0.129394823571297
"Total Kanton Zürich";1.90382457325663;93.8026059496276;0;4.29356947711578
"RehaClinic Zurzach";11.9353879262096;81.8504729924982;0;6.21413908129219
"RehaClinic Baden";6.64016946107351;93.0444413731057;0;0.315389165820741
"Rehaklinik Bellikon";20.4169163825883;77.8261882705055;0;1.75689534690616
"aarReha Schinznach";9.55157023626357;89.7959587634628;0;0.652471000273657
"Reha Rheinfelden";11.6091259987292;88.0343632275645;0;0.356510773706303
"Klinik Gais";1.45830926469849;98.5416907353015;0;0
"Rheinburg-Klinik";2.22010706411017;97.4128382851268;0;0.367054650762996
"REHAB Basel";8.59076170647985;90.4425289180852;0;0.966709375434954
"Rehaklinik Seewis";3.21540975575603;96.0974327271189;0;0.687157517125042
"Kliniken Valens, Rehazentrum Valens";8.90402886461371;85.4378188832401;0;5.65815225214618
"Rehaklinik Dussnang";14.3382965546115;77.1466116175331;0;8.51509182785539
"Rehaklinik Zihlschlacht";6.3812566499427;92.8385714804869;0;0.780171869570439
