"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";1757;1829;1722;-5.85019136139967
"RehaClinic Zollikerberg";536;545;517;-5.13761467889908
"RehaClinic Kilchberg";252;245;232;-5.30612244897959
"RehaClinic Limmattal";;25;107;328
"Universitätsklinik Balgrist";311;280;239;-14.6428571428571
"Klinik Susenberg";288;232;251;8.18965517241379
"Kinderspital Zürich";67;71;65;-8.45070422535211
"Klinik Lengg";438;451;462;2.4390243902439
"Zürcher PatientInnen im Kanton Zürich";3649;3678;3595;-2.25666122892877
"Ausserkantonale Kliniken mit Zürcher Leistungsauftrag";;;;
"RehaClinic Zurzach";1195;1140;;-4.60251046025104
"RehaClinic Baden";236;236;;0
"Rehaklinik Bellikon";458;517;;12.882096069869
"aarReha Schinznach";246;212;;-13.8211382113821
"Reha Rheinfelden";38;36;;-5.26315789473685
"Klinik Gais";180;185;;2.77777777777777
"Rheinburg-Klinik";34;26;;-23.5294117647059
"REHAB Basel";10;15;;50
"Zürcher RehaZentrum Davos";802;744;;-7.23192019950125
"Rehaklinik Seewis";266;257;;-3.38345864661654
"Kliniken Valens, Rehazentrum Valens";250;263;;5.2
"Rehaklinik Dussnang";944;911;;-3.4957627118644
"Rehaklinik Zihlschlacht";322;366;;13.6645962732919
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";3299;3597;;9.03304031524705
"Total Zürcher PatientInnen";11929;12183;;2.12926481683293
