"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Zürcher RehaZentrum Wald";4;4;3;122;0;3;18;5;1;2;1;0;42;6;0;132;6;18;14;0;1;0;0;0;0;382;1722;2;2106
"RehaClinic Zollikerberg";1;1;0;5;0;0;2;2;0;0;0;0;0;0;0;5;2;1;1;10;0;0;0;0;0;30;517;2;549
"RehaClinic Kilchberg";2;1;0;19;0;1;3;0;0;2;0;0;4;0;0;0;2;13;2;0;0;0;0;0;0;49;232;1;282
"RehaClinic Limmattal";1;1;0;2;1;0;0;2;0;1;1;1;5;0;0;4;0;15;1;0;0;0;0;0;0;35;107;1;143
"Universitätsklinik Balgrist";1;0;0;13;1;1;3;5;2;4;1;0;8;0;0;5;6;10;7;2;0;2;0;0;0;71;239;9;319
"Klinik Susenberg";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;2;0;3;0;0;0;0;0;9;251;5;265
"Kinderspital Zürich";16;10;0;3;1;0;1;5;4;10;4;5;2;0;1;17;6;18;11;4;6;0;0;1;0;125;65;3;193
"Klinik Lengg";0;3;0;9;0;1;0;3;0;0;0;1;12;0;0;6;2;10;3;1;0;1;0;0;0;52;462;4;518
"Total Kanton Zürich";25;20;3;175;3;6;27;22;7;19;7;7;73;6;1;171;24;87;39;20;7;3;0;1;0;753;3595;27;4375
"RehaClinic Zurzach";113;79;4;41;9;12;9;29;5;97;42;44;56;2;2;35;7;979;25;20;2;5;3;7;0;1627;1140;24;2791
"RehaClinic Baden";2;5;0;0;0;0;2;0;0;4;0;2;0;0;0;0;0;335;0;0;0;0;0;0;0;350;236;1;587
"Rehaklinik Bellikon";101;108;7;48;9;13;12;28;14;58;32;52;13;4;3;64;17;334;51;22;1;7;1;0;1;1000;517;69;1586
"aarReha Schinznach";14;38;1;3;1;2;1;2;0;142;3;4;0;1;0;1;0;961;1;2;0;0;0;0;0;1177;212;4;1393
"Reha Rheinfelden";48;31;2;2;3;2;0;2;2;260;226;719;1;0;0;8;2;929;4;2;1;3;1;0;10;2258;36;53;2347
"Klinik Gais";7;19;5;10;1;7;2;9;1;3;3;7;41;94;23;528;7;25;130;2;0;0;0;0;0;924;185;34;1143
"Rheinburg-Klinik";2;2;1;2;0;1;0;0;0;0;0;1;1;103;16;512;8;1;49;0;0;0;0;0;0;699;26;45;770
"REHAB Basel";45;14;2;2;1;2;0;3;5;36;121;138;2;1;0;4;1;35;0;9;5;0;4;0;13;443;15;43;501
"Zürcher RehaZentrum Davos";2;12;2;20;1;1;6;11;0;7;1;5;20;13;2;65;421;37;13;4;1;0;0;1;0;645;744;9;1398
"Rehaklinik Seewis";4;20;4;41;2;3;19;15;1;1;4;2;13;6;4;131;105;28;7;9;0;1;0;0;0;420;257;50;727
"Kliniken Valens, Rehazentrum Valens";25;35;7;62;4;5;44;8;5;5;11;25;13;9;14;600;466;40;36;11;0;6;0;0;0;1431;263;111;1805
"Rehaklinik Dussnang";1;2;0;14;1;0;1;1;0;1;0;1;16;49;2;515;4;10;375;2;0;0;0;0;0;995;911;7;1913
"Rehaklinik Zihlschlacht";8;9;1;6;1;1;1;4;1;3;4;3;44;23;12;196;9;16;406;5;0;0;0;0;0;753;366;26;1145
