"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";49910;51870;49549;-4.47464815885868
"RehaClinic Zollikerberg";11508;11757;11348;-3.47877859998299
"RehaClinic Kilchberg";11627;11647;10848;-6.8601356572508
"RehaClinic Limmattal";;1447;5154;256.185210780926
"Universitätsklinik Balgrist";14129;14426;12528;-13.1568002218217
"Klinik Susenberg";6016;5070;5640;11.2426035502958
"Kinderspital Zürich";10781;10185;10044;-1.38438880706921
"Klinik Lengg";15025;15544;16192;4.16881111682965
"Total Kanton Zürich";118996;121946;121303;-0.527282567693899
"RehaClinic Zurzach";76315;76946;;0.826836139684195
"RehaClinic Baden";9920;11952;;20.4838709677419
"Rehaklinik Bellikon";59812;67399;;12.6847455360128
"aarReha Schinznach";32259;30738;;-4.71496326606529
"Reha Rheinfelden";64215;70643;;10.0101222455812
"Klinik Gais";23149;26876;;16.1000475182513
"Rheinburg-Klinik";22976;21858;;-4.86594707520891
"REHAB Basel";32505;27801;;-14.4716197508076
"Zürcher RehaZentrum Davos";34891;32319;;-7.37152847439168
"Rehaklinik Seewis";15674;17313;;10.4568074518311
"Kliniken Valens, Rehazentrum Valens";51760;49630;;-4.11514683153014
"Rehaklinik Dussnang";35012;35245;;0.665486119044889
"Rehaklinik Zihlschlacht";49096;43673;;-11.0457063711911
