"Spitalname";"Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Patienten Kanton ZH in %"
"Zürcher RehaZentrum Wald";2106;69.7521367521367;23.1244064577398;81.7663817663818
"RehaClinic Zollikerberg";549;75.7103825136612;46.9945355191257;94.1712204007286
"RehaClinic Kilchberg";282;73.4645390070922;23.758865248227;82.2695035460993
"RehaClinic Limmattal";144;46.7083333333333;27.0833333333333;74.3055555555556
"Universitätsklinik Balgrist";319;60.6175548589342;33.2288401253918;74.9216300940439
"Klinik Susenberg";265;73.4566037735849;51.3207547169811;94.7169811320755
"Kinderspital Zürich";193;8.87046632124352;11.3989637305699;33.6787564766839
"Klinik Lengg";518;68.2741312741313;36.4864864864865;89.1891891891892
"Total Kanton Zürich";4376;66.6789305301645;29.7989031078611;82.1526508226691
"RehaClinic Zurzach";2791;67.3378717305625;31.9957004657829;40.8455750627015
"RehaClinic Baden";587;74.2453151618399;13.7989778534923;40.2044293015332
"Rehaklinik Bellikon";1586;48.0554854981084;17.0870113493064;32.5977301387137
"aarReha Schinznach";1393;72.5958363244795;25.4127781765973;15.218951902369
"Reha Rheinfelden";2347;69.0566680869195;29.2288027268854;1.53387302939923
"Klinik Gais";1143;64.2843394575678;18.8976377952756;16.1854768153981
"Rheinburg-Klinik";770;70.5675324675325;40;3.37662337662338
"REHAB Basel";501;53.0898203592814;14.9700598802395;2.9940119760479
"Zürcher RehaZentrum Davos";1398;60.532904148784;20.9585121602289;53.2188841201717
"Rehaklinik Seewis";727;65.2682255845942;25.3094910591472;35.3507565337001
"Kliniken Valens, Rehazentrum Valens";1805;60.402216066482;25.4847645429363;14.5706371191136
"Rehaklinik Dussnang";1913;76.2848928384736;26.7642446419237;47.6215368531103
"Rehaklinik Zihlschlacht";1145;65.82096069869;32.0524017467249;31.9650655021834
