"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Zürcher RehaZentren";481.436;471.172;476.144;1.05524097357228
"RehaClinic Zollikerberg";47.98;47.526;46.989;-1.12990783991922
"RehaClinic Kilchberg";49;60.998;61.77;1.26561526607432
"RehaClinic Limmattal";;9.84;26.62;170.528455284553
"Total Kanton Zürich";578.416;589.536;611.523;3.72954323400096
"RehaClinic Zurzach";322.757;340.206;;5.40623441164716
"RehaClinic Baden";82.452;80.916;;-1.86290205210304
"Rehaklinik Bellikon";438.757;480.808;;9.58412059522697
"aarReha Schinznach";186.928;224.237;;19.9590216553967
"Reha Rheinfelden";444.791;473.494;;6.45314316161973
"Klinik Gais";138.922;161.782;;16.4552770619484
"Rheinburg-Klinik";130.754;141.761;;8.41809810789729
"REHAB Basel";376.439;407.982;;8.37931245168539
"Rehaklinik Seewis";71.807;68.508;;-4.5942596125726
"Kliniken Valens, Rehazentrum Valens";533.484;514.743;;-3.51294509301122
"Rehaklinik Dussnang";214.858;176.929;;-17.6530545755801
"Rehaklinik Zihlschlacht";303.933;266.227;;-12.406023696012
