"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Universitätsspital Zürich";6320.242;6144.68;6528.777;6.25088694610623
"Kantonsspital Winterthur";2448.6;2514.313;2542.251;1.11115839595151
"Stadtspital Triemli";2101.389;2191.303;2194.164;0.130561588242273
"Klinik Hirslanden";1279.522;1377.078;1394.76;1.28402312723026
"See-Spital";657.598;689.529;663.005;-3.84668375079221
"Spital Uster";765.324;812.113;831.781;2.42183045955426
"Spital Limmattal";864.983;895.546;912.231;1.86310920935384
"Spital Bülach";761.558;768.092;766.927;-0.151674538987512
"Spital Zollikerberg";670.8;712.472;732.508;2.81218068920603
"GZO AG Spital Wetzikon";653.03;674.74;699.15;3.6176897768029
"Stadtspital Waid";914.744;883.502;936.846;6.03779051999882
"Schulthess-Klinik";769.521;823.124;843.611;2.48893240872579
"Kinderspital Zürich";1495.198;1565.637;1580.459;0.946707314658513
"Spital Männedorf";526.899;603.701;641.401;6.24481324364212
"Universitätsklinik Balgrist";729.162;800.787;821.737;2.61617633652893
"Spital Affoltern";464.832;363.839;361.853;-0.545845827412672
"Paracelsus-Spital Richterswil";223.739;194.281;172.382;-11.2718176249865
"Limmatklinik";35.63;50.166;42.826;-14.6314236734043
"Klinik Lengg";203.431;215.825;226.381;4.89099965249624
"Uroviva Klinik für Urologie";49.374;43.09;49.58;15.0614991877466
"Adus Medica";19.4;20.19;18.9;-6.38930163447252
"Klinik Susenberg";76.308;79.243;82.376;3.9536615221534
"Sune-Egge";61.52;52.42;51.81;-1.16367798550172
"Spitäler mit Zürcher Leistungsauftrag";22092.804;22475.671;23095.716;2.75873854889581
"Geburtshaus Zürcher Oberland";18.568;18.788;19.67;4.69448584202681
"Geburtshaus Delphys";6.5;6.2;6.86;10.6451612903226
"Geburtshäuser mit Zürcher Leistungsauftrag";25.068;24.988;26.53;6.17096206178964
"Klinik Im Park";491.388;499.526;506.908;1.47780095530563
"Privatklinik Bethanien";180.608;185.425;188.122;1.45449642712687
"Klinik Lindberg";108.076;104.746;112.01;6.93487102132779
"Klinik Pyramide am See";97.87;89.8;90.39;0.657015590200438
"Klinik Pyramide Schwerzenbach";3.65;;;
"Klinik Tiefenbrunnen";7.36;7.44;5.81;-21.9086021505376
"Eulachklinik";5.14;5.87;4.19;-28.6201022146508
"Spitäler ohne Zürcher Leistungsauftrag";894.092;892.807;907.43;1.63786798266592
"Total Kanton Zürich";23011.964;23393.466;24029.676;2.71960555139628
"Spitäler Schaffhausen";822.096;985.943;;19.930397423172
