"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Universitätsspital Zürich";281;351;55;1389;40;36;246;422;32;210;71;127;637;64;16;1200;512;1817;835;362;47;81;15;21;9;8876;32104;819;41799
"Kantonsspital Winterthur";24;18;1;36;2;7;7;15;0;19;16;9;862;10;12;216;73;100;925;34;2;8;2;3;0;2401;24345;144;26890
"Stadtspital Triemli";33;56;35;504;3;9;57;376;1;18;11;10;291;7;2;116;35;751;70;19;0;12;2;4;3;2425;21545;194;24164
"Klinik Hirslanden";87;180;25;603;17;30;87;293;12;56;31;59;243;76;16;659;296;1023;291;287;34;39;5;8;4;4461;14046;571;19078
"See-Spital Standort Horgen";12;21;3;317;0;1;13;53;0;4;1;2;3;0;0;55;7;48;12;7;1;1;0;0;0;561;6898;50;7509
"See-Spital Standort Kilchberg";11;19;4;92;1;0;2;62;1;6;0;3;1;1;0;28;7;157;25;10;2;6;0;2;0;440;3123;11;3574
"Spital Uster";9;9;1;17;0;0;3;10;0;2;1;8;8;2;0;66;10;24;14;0;5;3;0;1;1;194;10460;132;10786
"Spital Limmattal";14;9;3;11;3;0;1;21;4;12;1;4;9;0;1;24;9;1357;9;7;6;6;0;0;0;1511;9850;67;11428
"Spital Bülach";15;4;2;4;2;0;0;5;2;6;2;1;86;1;1;10;1;108;17;2;6;2;0;0;1;278;9900;152;10330
"Spital Zollikerberg";9;8;0;47;2;1;4;15;4;5;6;0;19;4;0;77;29;118;28;12;4;1;1;1;0;395;10245;60;10700
"GZO AG Spital Wetzikon";10;10;1;31;1;3;11;8;0;4;3;2;12;1;0;312;11;24;26;5;1;4;0;0;0;480;9724;37;10241
"Stadtspital Waid";17;14;3;19;2;0;0;7;1;6;2;4;6;1;0;25;10;87;17;13;0;5;2;1;0;242;8365;99;8706
"Schulthess-Klinik";63;137;58;260;21;28;65;182;10;64;23;32;135;15;2;276;175;860;257;238;39;65;4;12;2;3023;5188;277;8488
"Kinderspital Zürich";36;107;4;306;5;11;57;79;9;53;11;19;114;13;6;301;88;582;126;107;6;5;1;11;2;2059;6055;226;8340
"Spital Männedorf";10;10;0;97;0;0;10;12;0;5;2;4;13;2;0;1052;9;26;13;12;0;7;0;1;0;1285;6314;45;7644
"Universitätsklinik Balgrist";80;69;17;145;4;10;35;86;7;57;9;22;64;7;4;148;41;417;109;88;22;31;10;4;3;1489;3349;67;4905
"Spital Affoltern";7;10;2;6;2;0;0;161;0;0;3;1;0;0;0;5;8;245;2;1;0;1;0;0;0;454;3169;13;3636
"Paracelsus-Spital Richterswil";11;29;4;318;0;0;68;39;0;6;8;2;6;3;0;148;15;75;19;14;3;2;0;0;0;770;1855;21;2646
"Limmatklinik";12;22;1;36;1;0;6;18;2;11;2;6;16;2;2;38;15;142;22;14;5;3;0;1;0;377;1005;18;1400
