"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";234;335;48;113;12;13;394;6;14;82;3693;25;14;200;255;43;8;23;34;2;0;1;5;5;5559;15;8;8;22;4;0;57;1;349
"Dermatologie";"DER1";11;3;2;2;0;0;2;0;0;0;15;0;0;6;1;0;0;0;0;0;0;0;0;0;42;0;0;0;0;0;0;0;0;1
"";"DER1.1";6;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"DER2";2;1;0;1;0;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";37;7;0;7;0;0;12;0;0;2;98;0;0;15;20;0;0;1;0;0;0;7;0;0;206;0;1;0;5;0;0;6;0;15
"";"HNO1.1";39;1;0;2;0;1;0;0;0;0;13;1;0;9;4;0;0;0;6;0;0;0;0;0;76;1;3;0;1;0;0;5;0;9
"";"HNO1.1.1";1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"HNO1.2";26;1;0;10;0;0;11;0;0;0;109;1;0;0;11;0;0;1;10;0;0;3;0;0;183;0;0;1;3;0;0;4;0;26
"";"HNO1.2.1";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
"";"HNO1.3";20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;2;0;0;0;0;2;0;2
"";"HNO1.3.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1
"";"HNO1.3.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1
"";"HNO2";11;3;1;6;0;0;6;0;1;2;18;3;0;0;4;0;0;0;0;0;0;0;0;0;55;1;2;0;0;0;0;3;0;3
"";"KIE1";7;5;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;7;0;0;0;0;0;21;0;0;0;1;0;0;1;0;
"Neurochirurgie";"NCH1";35;5;0;7;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;3
"";"NCH1.1";2;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;1
"";"NCH1.1.1";8;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"NCH1.1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NCH2";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"";"NCH3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;
"Neurologie";"NEU1";7;2;0;2;0;0;6;0;0;1;36;0;0;7;1;2;0;0;0;2;0;0;0;1;67;0;0;0;0;0;0;0;1;6
"";"NEU2";1;0;0;0;0;0;1;0;0;0;9;0;0;0;1;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;1;
"";"NEU2.1";2;0;0;1;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;
"";"NEU3";43;11;1;17;0;0;10;0;0;0;135;0;0;0;4;0;0;0;0;0;0;0;0;0;221;0;0;0;0;0;0;0;0;5
"";"NEU3.1";1;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;1
"";"NEU4";0;0;0;4;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;19;0;0;0;0;28;0;0;0;0;0;0;0;0;
"";"NEU4.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;
"";"NEU4.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;11;0;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";14;9;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;0;1
"";"AUG1.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;
"";"AUG1.2";4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;1;0;1;0;2
"";"AUG1.3";22;9;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;34;4;0;0;0;0;0;4;0;8
"";"AUG1.4";6;85;4;22;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;119;1;0;0;3;0;0;4;0;
"";"AUG1.5";40;13;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;77;2;0;0;0;0;0;2;0;5
"Endokrinologie";"END1";7;1;0;0;0;0;10;1;0;3;24;0;0;7;0;0;0;0;0;0;0;0;0;0;53;0;0;0;0;0;0;0;0;
