"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";662;39;1209;271;29;58;29;4169;186;58;16;455;27;355;19;51;1666;20;25;0;7;50;14;5;9420;94;49;3;58;2;206;5;756
"Dermatologie";"DER1";26;0;5;0;0;0;0;12;1;0;0;0;0;6;0;0;2;0;0;0;0;0;0;0;52;0;0;0;0;0;0;0;
"";"DER1.1";17;0;1;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1;0;0;0;0;1;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"DER2";6;0;2;2;0;0;0;12;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;28;1;0;0;0;0;1;0;2
"Hals-Nasen-Ohren";"HNO1";95;0;2;12;2;28;0;72;1;0;0;8;0;31;1;0;16;0;6;0;0;8;0;0;282;3;6;0;4;0;13;0;35
"";"HNO1.1";77;1;2;4;0;2;0;8;0;0;0;2;0;10;0;0;6;0;9;0;0;1;0;0;122;0;13;0;0;0;13;0;7
"";"HNO1.1.1";1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO1.2";49;1;0;21;1;18;2;19;0;3;0;12;0;1;2;0;23;0;43;0;0;17;0;0;212;0;0;1;0;0;1;0;25
"";"HNO1.2.1";2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"HNO1.3";34;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;42;0;2;0;0;0;2;0;10
"Hals-Nasen_Ohren";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Hals-Nasen-Ohren";"HNO1.3.2";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;1
"";"HNO2";20;0;16;8;1;0;0;27;2;2;0;5;0;0;0;0;0;0;0;0;0;0;0;0;81;1;3;0;0;0;4;0;6
"";"KIE1";19;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;4;0;0;0;0;0;31;1;0;0;3;0;4;0;2
"Neurochirurgie";"NCH1";67;1;0;10;0;0;0;0;0;0;0;0;1;13;0;0;0;0;0;0;0;0;0;0;92;4;0;0;0;0;4;0;5
"";"NCH1.1";4;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;1
"";"NCH1.1.1";15;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;2
"";"NCH1.1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"NCH1.1.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;1
"";"NCH1.1.3";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH3";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;
"Neurologie";"NEU1";22;1;9;4;0;0;0;35;1;1;0;3;0;4;0;0;13;0;0;4;0;0;0;0;97;0;0;0;0;0;0;0;7
"";"NEU2";7;0;4;0;0;0;0;11;2;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;26;0;0;0;0;0;0;0;2
"";"NEU2.1";2;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;3;0;0;0;0;0;1;0;8;1;0;0;0;0;1;0;
"";"NEU3";60;3;60;7;1;0;0;128;2;0;0;17;0;0;0;0;25;1;0;0;0;0;0;0;304;0;0;0;0;0;0;0;10
"";"NEU3.1";9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
"";"NEU4";0;0;0;3;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;19;0;0;0;0;26;0;0;0;0;0;0;0;
"";"NEU4.1";4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;8;0;0;0;0;0;0;0;
"";"NEU4.2";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;0;0;0;0;28;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";24;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33;1;0;0;1;0;2;0;3
"";"AUG1.1";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"AUG1.2";5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;1;2;1;4;0;2
"";"AUG1.3";12;2;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;21;3;0;0;0;0;3;0;10
"";"AUG1.4";5;2;17;4;0;0;0;8;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;38;6;0;0;16;0;22;0;
"";"AUG1.5";38;1;55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;95;1;0;0;0;0;1;0;17
"Endokrinologie";"END1";12;0;5;2;0;0;0;20;0;1;0;5;0;3;0;0;5;0;0;0;0;0;0;0;53;1;0;0;0;0;1;0;2
"Gastroenterologie";"GAE1";50;0;83;28;1;0;0;332;8;3;0;50;0;8;1;0;112;1;0;0;0;0;0;0;677;7;1;0;0;0;8;0;25
"";"GAE1.1";19;0;28;4;0;0;0;67;0;0;1;5;0;1;0;0;14;0;0;0;0;0;0;0;139;2;2;0;0;0;4;0;7
"Viszeralchirugie";"VIS1";23;3;52;28;1;1;0;112;5;0;0;8;0;3;0;0;10;1;0;0;0;0;0;0;247;4;0;0;0;0;4;0;12
"";"VIS1.1";0;0;13;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;0;1;0;0;0;1;0;
"";"VIS1.2";3;0;6;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;
"";"VIS1.3";4;0;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;1
"";"VIS1.4";18;0;4;2;0;0;0;90;0;0;0;2;0;0;8;0;0;0;0;0;0;0;0;0;124;0;0;0;0;0;0;0;11
"";"VIS1.4.1";0;0;0;8;0;0;0;39;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;6
"";"VIS1.5";3;0;6;2;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;
"Haematologie";"HAE1";17;0;3;8;0;0;0;7;0;0;0;0;0;29;0;0;2;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;1
"";"HAE1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"HAE2";22;0;36;11;0;0;0;37;2;0;0;5;0;1;0;1;18;0;0;0;0;0;0;0;133;2;0;0;0;0;2;0;7
"";"HAE3";2;0;4;1;0;0;0;9;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;
"";"HAE4";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
