"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Universitätsspital Zürich";266076;269288;279179;3.67301922105701
"Kantonsspital Winterthur";142591;142442;137650;-3.3641762963171
"Stadtspital Triemli";132504;136812;127682;-6.67339122299213
"Klinik Hirslanden";108566;108600;105061;-3.25874769797422
"See-Spital Standort Horgen";41469;40651;40593;-0.142677916902412
"See-Spital Standort Kilchberg";14572;13729;12257;-10.7218297035472
"Spital Uster";61105;62802;59913;-4.60017196904557
"Spital Limmattal";55459;56299;54518;-3.16346649141193
"Spital Bülach";55420;53791;51756;-3.78316075179863
"Spital Zollikerberg";54115;55461;52942;-4.54193036548205
"GZO AG Spital Wetzikon";44219;44851;44066;-1.7502396825043
"Stadtspital Waid";71708;71574;64516;-9.8611227540727
"Schulthess-Klinik";45956;47548;44833;-5.71001934886851
"Kinderspital Zürich";42244;43530;46084;5.86721801056742
"Spital Männedorf";39004;42060;41165;-2.12791250594389
"Universitätsklinik Balgrist";25748;25352;26300;3.73934995266645
"Spital Affoltern";21360;21666;21638;-0.129234745684481
"Paracelsus-Spital Richterswil";12163;12163;11197;-7.94211954287594
"Limmatklinik";2713;2745;2863;4.29872495446266
"Klinik Lengg";6348;6055;5750;-5.03715937241949
"Uroviva Klinik für Urologie";2781;3072;3550;15.5598958333333
"Adus Medica";1024;1396;1401;0.358166189111753
"Klinik Susenberg";3064;3710;3767;1.53638814016173
"Sune-Egge";7366;6731;7747;15.0943396226415
"Spitäler mit Zürcher Leistungsauftrag";1257575;1272328;1246428;-2.03563860891217
"Geburtshaus Zürcher Oberland";2606;2977;2974;-0.100772589855558
"Geburtshaus Delphys";1526;1630;1574;-3.43558282208589
"Geburtshäuser mit Zürcher Leistungsauftrag";4132;4607;4548;-1.28065986542218
"Klinik Im Park";33764;32410;30379;-6.26658438753471
"Privatklinik Bethanien";16800;18506;16503;-10.8235166972874
"Klinik Lindberg";6935;5472;5865;7.18201754385965
"Klinik Pyramide am See";4753;4621;4755;2.89980523696169
"Klinik Pyramide Schwerzenbach";249;;;
"Klinik Tiefenbrunnen";134;140;105;-25
"Eulachklinik";51;12;3;-75
"Spitäler ohne Zürcher Leistungsauftrag";62686;61161;57610;-5.80598747567894
"Total Kanton Zürich";1324393;1338096;1308586;-2.20537240975236
"Spitäler Schaffhausen";49756;53156;;6.83334673205243
