"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Universitätsspital Zürich";26.094215406021;63.0594054646877;0;10.8463791292913
"Kantonsspital Winterthur";28.825828265154;68.9091740177216;0.000847414347564684;2.26415030277685
"Stadtspital Triemli";28.824985506653;70.099790206193;0.0036001764939253;1.07162411066006
"Klinik Hirslanden";13.0442283498421;83.6172202364075;0.00234276190808422;3.33620865184228
"See-Spital";13.1352497491311;86.215613250681;0;0.649137000187865
"Spital Uster";26.0761149054513;72.3523718319443;0;1.57151326260432
"Spital Limmattal";32.8379478246717;65.7584522991655;0.0299728893947474;1.37362698676815
"Spital Bülach";26.4801710972895;72.3802485878003;0;1.13958031491012
"Spital Zollikerberg";24.4716322002851;74.9885433880212;0.0148814060032938;0.52494300569042
"GZO AG Spital Wetzikon";30.1048190400026;66.5831439583414;0.012015044895106;3.30002195676094
"Stadtspital Waid";25.0990482694542;73.7952589002946;0.0142920219610604;1.09140080829008
"Schulthess-Klinik";30.4956500313032;68.9489257667631;0;0.555424201933714
"Kinderspital Zürich";27.2340613229248;57.3882125127271;0;15.3777261643481
"Spital Männedorf";27.2824469648704;72.1344931727382;0;0.583059862391316
"Universitätsklinik Balgrist";30.2513238960417;59.1281388633818;0;10.6205372405764
"Spital Affoltern";21.772992724767;76.8233958419376;0;1.40361143329536
"Paracelsus-Spital Richterswil";48.5008519367992;51.2641478973544;0;0.235000165846471
"Limmatklinik";39.8080582170756;60.1919417829244;0;0
"Klinik Lengg";19.5038591857667;77.7298853552418;0;2.76625545899156
"Uroviva Klinik für Urologie";13.7445277035026;86.2554722964974;0;0
"Adus Medica";28.8763541231369;71.1236458768631;0;0
"Klinik Susenberg";1.13367932635389;98.2391436829783;0;0.62717699066782
"Sune-Egge";19.1785116680885;80.3779839178977;0;0.443504414013826
"Spitäler mit Zürcher Leistungsauftrag";25.8110279994137;68.686479203671;0.0029050194696418;5.49958777744564
"Geburtshaus Zürcher Oberland";13.8984499779618;82.4388498414669;0;3.66270018057129
"Geburtshaus Delphys";13.5882640283911;80.7893053739191;0;5.62243059768973
"Geburtshäuser mit Zürcher Leistungsauftrag";13.7784156682327;81.8005168292736;0;4.42106750249363
"Klinik Im Park";20.5523285717232;74.7599027100133;0;4.68776871826349
"Privatklinik Bethanien";10.8048960648124;89.1951039351876;0;0
"Klinik Lindberg";14.4273273871579;85.5726726128421;0;0
"Klinik Pyramide am See";0;100;0;0
"Klinik Tiefenbrunnen";44.2399834695341;55.7600165304659;0;0
"Eulachklinik";96.0298558463701;3.97014415362994;0;0
"Spitäler ohne Zürcher Leistungsauftrag";17.9952070771965;79.0563256131651;0;2.94846730963849
"Total Kanton Zürich";25.3686307851038;69.2704611545271;0.00274222589343769;5.35816583447567
"Spitäler Schaffhausen";28.981339521269;66.8597381072438;0;4.15892237148726
