"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Eulachklinik";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";269;8091;47;93;15;16;176;15;78;29;75;38;15;121;20;18;7;15;19;1;6;0;3;8;9175;11;9;229;45;1;1;296;347;775
"Dermatologie";"DER1";8;17;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;28;0;0;0;0;0;0;0;1;3
"";"DER1.1";21;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;0;0;0;0;0;0;0;0;
"";"DER1.2";1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;
"";"DER2";1;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;15;0;0;0;0;0;0;0;2;
"Hals-Nasen-Ohren";"HNO1";42;119;0;2;4;2;8;1;0;0;1;2;0;22;0;0;0;0;0;0;0;175;0;0;378;1;1;8;3;0;0;13;5;111
"";"HNO1.1";39;58;0;1;0;0;0;0;0;0;0;0;0;17;0;0;0;0;6;0;0;5;0;0;126;0;4;1;1;0;0;6;3;17
"";"HNO1.1.1";2;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;
"";"HNO1.2";32;85;0;10;1;2;2;0;0;0;3;2;0;0;0;0;0;0;9;0;0;100;0;0;246;0;0;31;0;0;0;31;2;105
"";"HNO1.2.1";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1
"";"HNO1.3";24;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29;0;1;1;0;0;0;2;0;6
"Hals-Nasen_Ohren";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;0;;1
"Hals-Nasen-Ohren";"HNO1.3.2";8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;
"";"HNO2";7;57;1;0;0;0;0;0;5;2;0;1;0;0;0;0;0;0;0;0;0;0;0;0;73;0;0;6;0;0;0;6;3;9
"";"KIE1";3;34;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;41;0;0;1;0;0;0;1;0;2
"Neurochirurgie";"NCH1";45;33;0;8;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;99;1;0;0;0;0;0;1;0;8
"";"NCH1.1";1;2;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;
"";"NCH1.1.1";16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;
