"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Ausserkantonal/Ausland";"Total"
"Universitätsspital Zürich";15816;1647;3596;2779;1275;1533;4078;1322;9753;41799
"Kantonsspital Winterthur";270;20350;1845;76;37;74;962;707;2569;26890
"Stadtspital Triemli";15173;191;794;3542;1090;147;435;176;2616;24164
"Klinik Hirslanden";5624;685;1203;1191;582;2043;2097;625;5028;19078
"See-Spital Standort Horgen";1536;33;79;122;5018;29;62;22;608;7509
"See-Spital Standort Kilchberg";1590;63;215;311;694;51;161;38;451;3574
"Spital Uster";160;731;173;33;6;91;8494;844;254;10786
"Spital Limmattal";673;36;276;8706;32;16;89;17;1583;11428
"Spital Bülach";204;195;8762;509;10;10;197;8;435;10330
"Spital Zollikerberg";5039;258;413;328;104;1267;2458;377;456;10700
"GZO AG Spital Wetzikon";118;317;76;24;16;145;1467;7567;511;10241
"Stadtspital Waid";6656;73;484;691;40;33;354;34;341;8706
"Schulthess-Klinik";1653;374;669;597;221;476;753;457;3288;8488
"Kinderspital Zürich";2309;340;858;624;319;408;781;416;2285;8340
"Spital Männedorf";253;67;88;36;54;4821;256;740;1329;7644
"Universitätsklinik Balgrist";1252;212;359;425;135;212;514;240;1556;4905
"Spital Affoltern";213;2;19;2888;35;2;4;6;467;3636
"Paracelsus-Spital Richterswil";568;77;57;131;786;59;77;104;787;2646
"Limmatklinik";379;98;129;119;43;32;157;49;394;1400
"Klinik Lengg";126;52;39;58;23;31;43;21;485;878
"Uroviva Klinik für Urologie";118;24;807;64;16;8;51;7;106;1201
"Adus Medica";160;338;413;100;4;2;55;10;136;1218
"Klinik Susenberg";121;6;17;11;5;20;20;4;10;214
"Sune-Egge";87;8;5;8;5;1;6;3;9;132
"Spitäler mit Zürcher Leistungsauftrag";60098;26177;21376;23373;10550;11511;23571;13794;35457;225907
"Geburtshaus Zürcher Oberland";25;194;14;4;2;38;122;187;170;756
"Geburtshaus Delphys";387;7;8;27;10;8;21;0;17;485
"Geburtshäuser mit Zürcher Leistungsauftrag";412;201;22;31;12;46;143;187;187;1241
"Klinik Im Park";2331;158;297;520;951;207;310;80;2164;7018
"Privatklinik Bethanien";1503;160;354;275;99;186;452;84;635;3748
"Klinik Lindberg";16;936;71;5;2;7;36;8;286;1367
"Klinik Pyramide am See";529;72;109;127;84;220;164;57;604;1966
"Klinik Tiefenbrunnen";14;2;2;1;0;7;9;3;26;64
"Eulachklinik";0;1;0;0;0;0;0;0;1;2
"Spitäler ohne Zürcher Leistungsauftrag";4393;1329;833;928;1136;627;971;232;3716;14165
"Total Kanton Zürich";64903;27707;22231;24332;11698;12184;24685;14213;39360;241313
"Spitäler Schaffhausen";26;849;50;8;4;3;9;6;8416;9371
