"Spitalname";"2015";"2016";"2017";"Änd. Vorjahr"
"Universitätsspital Zürich";6.88288379382694;6.78255845401126;6.6809493050073;-0.101609149003964
"Kantonsspital Winterthur";5.42256460855376;5.23433694930263;5.13544068426924;-0.0988962650333898
"Stadtspital Triemli";5.66545547813448;5.56895778095044;5.29577056778679;-0.273187213163649
"Klinik Hirslanden";5.75199119681409;5.68301515857002;5.58522905964986;-0.0977860989201655
"See-Spital Standort Horgen";5.59854309995953;5.52370660543023;5.3775469436676;-0.146159661762632
"See-Spital Standort Kilchberg";3.45910603899192;3.3837037037037;3.4364857302742;0.0527820265704988
"Spital Uster";5.600220062351;5.68239761323569;5.54246245132579;-0.139935161909901
"Spital Limmattal";5.13203703703704;4.93413436239256;4.79287714385719;-0.14125721853537
"Spital Bülach";5.44428166813165;5.06011758012517;5.02294288480155;-0.0371746953236167
"Spital Zollikerberg";5.29686274509804;5.16842399925352;4.9514953271028;-0.216928672150718
"GZO AG Spital Wetzikon";4.36771567556835;4.33162772736049;4.25905673274094;-0.072570994619551
"Stadtspital Waid";8.06936674871336;7.85753484798595;7.45956811394441;-0.397966734041545
"Schulthess-Klinik";5.76612802204685;5.59370579915134;5.28734684260132;-0.306358956550024
"Kinderspital Zürich";5.6509221175534;5.52113389015439;5.4568345323741;-0.0642993577802899
"Spital Männedorf";5.24350518239332;5.45876221498371;5.40463108320251;-0.0541311317812019
"Universitätsklinik Balgrist";5.54835924006908;5.33754208754209;5.31885830784913;-0.018683779692954
"Spital Affoltern";5.62529457973291;5.90834697217676;5.94444444444444;0.0360974722676852
"Paracelsus-Spital Richterswil";4.10749406578501;4.17713310580205;4.22524565381708;0.0481125480150348
"Limmatklinik";1.94340974212034;1.98338150289017;2.045;0.0616184971098266
"Klinik Lengg";6.84780278670954;6.49892008639309;6.54441913439635;0.0454990480032667
"Uroviva Klinik für Urologie";2.75471698113208;2.87371375116932;2.94171523730225;0.068001486132931
"Adus Medica";1.16761687571266;1.19418306244654;1.15024630541872;-0.0439367570278162
"Klinik Susenberg";18.4567901234568;19.0159574468085;18.3971962616822;-0.618761185126267
"Sune-Egge";70.1067961165049;56.2462686567164;53.3257575757576;-2.92051108095884
"Spitäler mit Zürcher Leistungsauftrag";5.75438317370414;5.64831866375924;5.52271067297605;-0.125607990783189
"Geburtshaus Zürcher Oberland";3.97720364741641;3.86979166666667;3.93783068783069;0.0680390211640214
"Geburtshaus Delphys";3.07959183673469;3.17214700193424;3.25360824742268;0.0814612454884442
"Geburtshäuser mit Zürcher Leistungsauftrag";3.59407665505226;3.58910505836576;3.67042707493956;0.081322016573806
"Klinik Im Park";4.57935552881401;4.42648648648649;4.3731832430892;-0.0533032433972869
"Privatklinik Bethanien";4.85632183908046;4.62725903614458;4.39861259338314;-0.228646442761441
"Klinik Lindberg";4.27569230769231;4.06552494415488;4.25237746891002;0.186852524755145
"Klinik Pyramide am See";2.36115250869349;2.40051948051948;2.41861648016277;0.0180969996432863
"Klinik Pyramide Schwerzenbach";4.61111111111111;;;
"Klinik Tiefenbrunnen";1.69620253164557;2.05882352941176;1.640625;-0.418198529411764
"Eulachklinik";2.21739130434783;1.5;1.5;0
"Spitäler ohne Zürcher Leistungsauftrag";4.28956822341219;4.17055947854427;4.08422167313802;-0.0863378054062531
"Total Kanton Zürich";5.65225740811395;5.54768118272255;5.42874606838422;-0.118935114338339
"Spitäler Schaffhausen";5.65035921997947;5.6752747839078;;0.0249155639283281
