"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Universitätsspital Zürich";1213.824;2194.974;1088.561;1142.032;700.836;188.55;6528.777
"Kantonsspital Winterthur";438.482;1112.219;338.43;411.162;184.356;57.602;2542.251
"Stadtspital Triemli";388.42;837.9;249.208;360.572;321.484;36.58;2194.164
"Klinik Hirslanden";103.458;749.267;138.035;156;225.632;22.368;1394.76
"See-Spital";80.868;262.131;91.536;97.952;116.128;14.39;663.005
"Spital Uster";133.226;399.682;75.165;106.224;103.102;14.382;831.781
"Spital Limmattal";154.438;333.625;135.472;151.644;127.062;9.99;912.231
"Spital Bülach";127.118;333.363;101.44;109.712;83.724;11.57;766.927
"Spital Zollikerberg";117.906;308.203;95.781;131.976;60.832;17.81;732.508
"GZO AG Spital Wetzikon";109.1;301.07;77.56;124.86;69.85;16.71;699.15
"Stadtspital Waid";149.15;421.695;114.599;127.99;108.686;14.726;936.846
"Schulthess-Klinik";116.244;257.038;139.505;213.526;105.128;12.17;843.611
"Kinderspital Zürich";293.714;616.304;317.987;236.638;92.096;23.72;1580.459
"Spital Männedorf";86.73;287.192;62.575;104.306;86.578;14.02;641.401
"Universitätsklinik Balgrist";115.324;245.272;165.381;173.87;107.68;14.21;821.737
"Spital Affoltern";43.808;154.323;47.158;47.656;59.782;9.126;361.853
"Paracelsus-Spital Richterswil";20.21;47.44;33.35;45.43;22.482;3.47;172.382
"Limmatklinik";0;25.01;5.21;11.326;1.24;0.04;42.826
"Klinik Lengg";27.25;80.23;94.901;24;0;0;226.381
"Uroviva Klinik für Urologie";0;17.97;6.08;11.99;11.69;1.85;49.58
"Adus Medica";0;10;4.25;3.82;0.83;0;18.9
"Klinik Susenberg";6.404;41.782;9.45;7.01;15.69;2.04;82.376
"Sune-Egge";5.46;22.16;7.74;6.45;8.4;1.6;51.81
"Spitäler mit Zürcher Leistungsauftrag";3731.134;9058.85;3399.374;3806.146;2613.288;486.924;23095.716
"Geburtshaus Zürcher Oberland";0;0;13.33;2.19;4.15;0;19.67
"Geburtshaus Delphys";0;0;3.34;0.92;2.6;0;6.86
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;16.67;3.11;6.75;0;26.53
"Klinik Im Park";25.936;244.89;62.538;69.346;93.898;10.3;506.908
"Privatklinik Bethanien";0;73.166;33.304;29.636;46.36;5.656;188.122
"Klinik Lindberg";0;42.536;16.07;17.356;32.648;3.4;112.01
"Klinik Pyramide am See";0.86;25.88;7.94;25.33;25.73;4.65;90.39
"Klinik Tiefenbrunnen";0;2.35;2.11;0.81;0.54;0;5.81
"Eulachklinik";0;0.72;2.29;0.93;0.25;0;4.19
"Spitäler ohne Zürcher Leistungsauftrag";26.796;389.542;124.252;143.408;199.426;24.006;907.43
"Total Kanton Zürich";3757.93;9448.392;3540.296;3952.664;2819.464;510.93;24029.676
"Spitäler Schaffhausen";134.806;473.759;155.762;125.458;73.608;22.55;985.943
