"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";305;18;41;407;15;17;44;15;5;516;72;18;21;260;2474;42;2;21;11;0;0;0;6;3;4313;34;24;2;101;6;167;2;284
"Dermatologie";"DER1";8;0;0;0;0;0;0;0;0;0;0;0;0;5;5;0;0;0;0;0;0;0;0;0;18;1;0;0;0;0;1;0;
"";"DER1.1";7;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"DER1.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"DER2";3;0;0;1;0;0;0;0;0;1;1;0;0;0;5;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;1
"Hals-Nasen-Ohren";"HNO1";32;0;0;11;1;2;1;0;0;3;2;0;0;15;72;0;0;0;0;0;0;0;0;0;139;1;4;0;18;0;23;0;6
"";"HNO1.1";38;0;0;5;0;0;0;0;0;0;0;0;0;3;5;0;0;0;2;0;0;0;0;0;53;0;3;0;4;0;7;0;3
"";"HNO1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.2";13;0;0;22;0;1;1;0;0;1;1;0;0;0;38;0;0;0;2;0;0;2;0;0;81;1;0;0;3;0;4;0;2
"";"HNO1.2.1";0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"HNO1.3";13;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;14;0;1;0;0;0;1;0;2
"Hals-Nasen_Ohren";"HNO1.3.1";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Hals-Nasen-Ohren";"HNO1.3.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO2";4;0;6;8;0;0;0;0;0;4;0;0;0;0;7;0;0;0;0;0;0;0;0;0;29;1;3;0;0;0;4;0;1
"";"KIE1";8;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;0;0;0;0;12;1;0;0;0;0;1;0;1
"Neurochirurgie";"NCH1";33;1;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56;1;0;0;0;0;1;0;2
"";"NCH1.1";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"NCH1.1.1";3;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1
"";"NCH1.1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2.1";0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH3";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"Neurologie";"NEU1";17;0;0;2;1;0;1;0;0;1;1;2;0;4;30;0;0;0;0;4;0;0;0;0;63;0;0;0;0;0;0;0;4
"";"NEU2";2;0;0;1;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"NEU2.1";7;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;
"";"NEU3";50;1;1;44;0;0;1;0;0;11;1;0;0;0;95;0;0;0;0;0;0;0;1;0;205;0;0;0;0;0;0;0;4
"";"NEU3.1";2;0;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;1
"";"NEU4";0;0;0;3;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;6;0;0;0;0;10;0;0;0;0;0;0;0;
"";"NEU4.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NEU4.2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;6;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;1;0;0;0;0;1;0;
"";"AUG1.1";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"AUG1.2";1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;3;0;0;0;0;3;3;0;1
"";"AUG1.3";5;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;11;7;0;0;0;0;7;0;6
"";"AUG1.4";7;1;2;8;0;0;0;0;0;14;0;0;0;1;0;0;0;0;3;0;0;0;0;0;36;11;0;0;12;0;23;0;
"";"AUG1.5";37;2;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;51;1;0;0;0;0;1;0;3
"Endokrinologie";"END1";4;0;1;3;0;0;1;0;0;3;1;0;0;0;20;0;0;0;0;0;0;0;0;0;33;1;0;0;0;0;1;0;
"Gastroenterologie";"GAE1";23;1;1;44;0;0;4;0;0;40;4;1;0;3;257;0;0;4;0;0;0;0;0;0;382;0;2;0;0;0;2;0;6
"";"GAE1.1";6;0;1;11;0;0;1;0;0;3;1;0;0;0;45;0;0;0;0;0;0;0;0;0;68;1;0;0;0;0;1;0;1
"Viszeralchirugie";"VIS1";17;2;1;33;0;0;0;0;0;9;1;0;0;5;55;0;0;0;0;0;0;0;0;0;123;0;1;0;0;0;1;0;3
"";"VIS1.1";0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"VIS1.2";3;1;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;0;0;0;0;0;0;0;
"";"VIS1.3";0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"VIS1.4";5;0;0;5;0;0;0;0;0;0;6;0;0;0;14;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;5
"";"VIS1.4.1";0;0;0;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;2
"";"VIS1.5";0;1;0;1;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;2
"Haematologie";"HAE1";1;1;0;1;0;0;0;0;0;1;0;0;0;0;3;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"HAE1.1";3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;
"";"HAE2";24;1;0;15;0;0;0;0;0;10;0;2;0;0;32;0;0;1;0;0;0;0;0;0;85;3;0;0;0;0;3;0;
"";"HAE3";0;0;0;5;0;0;3;0;0;3;0;0;0;0;11;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;
"";"HAE4";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HAE5";;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"Gefässe";"GEF1";9;0;0;6;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;20;1;0;0;0;0;1;0;
