"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Universitätsspital Zürich";3981;9.52415129548554;9694;23.1919423909663;14098;33.7280796191296;9780;23.3976889399268;4246;10.1581377544917;41799
"Kantonsspital Winterthur";4732;17.5976199330606;4764;17.7166232800298;6661;24.7712904425437;6561;24.3994049832652;4172;15.5150613611008;26890
"Stadtspital Triemli";3861;15.978314848535;4401;18.2130441979805;5871;24.2964740936931;5665;23.4439662307565;4366;18.0682006290349;24164
"Klinik Hirslanden";1102;5.77628682251808;2581;13.5286717685292;6158;32.2780165635811;6584;34.5109550267324;2653;13.9060698186393;19078
"See-Spital Standort Horgen";926;12.3318684245572;1657;22.0668531096018;1859;24.7569583166866;1463;19.4832867225995;1604;21.3610334265548;7509
"See-Spital Standort Kilchberg";185;5.17627308337997;648;18.1309457190823;1608;44.9916060436486;922;25.7974258533856;211;5.90374930050364;3574
"Spital Uster";1321;12.2473576858891;2354;21.8245874281476;2744;25.4403856851474;2500;23.178193955127;1867;17.3094752456889;10786
"Spital Limmattal";1322;11.5680784039202;2545;22.2698634931747;3146;27.5288764438222;2466;21.5785789289464;1949;17.0546027301365;11428
"Spital Bülach";1835;17.7637947725073;2531;24.5014520813166;2297;22.2362052274927;2021;19.5643756050339;1646;15.9341723136496;10330
"Spital Zollikerberg";2225;20.7943925233645;2669;24.9439252336449;2110;19.7196261682243;1843;17.2242990654206;1853;17.3177570093458;10700
"GZO AG Spital Wetzikon";1219;11.9031344595254;2159;21.0819255932038;2873;28.0539009862318;2345;22.8981544771018;1645;16.0628844839371;10241
"Stadtspital Waid";126;1.44727773949001;999;11.4748449345279;2179;25.0287158281645;2147;24.6611532276591;3255;37.3880082701585;8706
"Schulthess-Klinik";598;7.04524033930254;1198;14.1140433553252;3417;40.2568331762488;2755;32.4575871819039;520;6.1262959472196;8488
"Kinderspital Zürich";8334;99.9280575539568;6;0.0719424460431655;0;0;0;0;0;0;8340
"Spital Männedorf";782;10.2302459445317;1358;17.7655677655678;2029;26.5436944008373;1925;25.1831501831502;1550;20.2773417059131;7644
"Universitätsklinik Balgrist";273;5.56574923547401;1029;20.9785932721713;2107;42.9561671763507;1188;24.2201834862385;308;6.27930682976555;4905
"Spital Affoltern";396;10.8910891089109;645;17.7392739273927;943;25.9350935093509;831;22.8547854785479;821;22.5797579757976;3636
"Paracelsus-Spital Richterswil";648;24.4897959183673;914;34.5427059712774;564;21.3151927437642;358;13.5298563869992;162;6.12244897959184;2646
"Limmatklinik";212;15.1428571428571;375;26.7857142857143;549;39.2142857142857;206;14.7142857142857;58;4.14285714285714;1400
"Klinik Lengg";253;28.8154897494305;301;34.2824601366743;262;29.8405466970387;52;5.92255125284738;10;1.13895216400911;878
"Uroviva Klinik für Urologie";15;1.24895920066611;138;11.4904246461282;448;37.3022481265612;454;37.8018318068276;146;12.1565362198168;1201
"Adus Medica";342;28.0788177339901;389;31.9376026272578;372;30.5418719211823;105;8.62068965517241;10;0.821018062397373;1218
"Klinik Susenberg";0;0;1;0.467289719626168;26;12.1495327102804;88;41.1214953271028;99;46.2616822429907;214
"Sune-Egge";0;0;18;13.6363636363636;113;85.6060606060606;1;0.757575757575758;0;0;132
"Spitäler mit Zürcher Leistungsauftrag";34688;15.3549912131984;43374;19.1999362569553;62434;27.6370364796133;52260;23.1334133072459;33151;14.6746227429872;225907
"Geburtshaus Zürcher Oberland";365;48.2804232804233;369;48.8095238095238;22;2.91005291005291;0;0;0;0;756
"Geburtshaus Delphys";235;48.4536082474227;233;48.0412371134021;17;3.50515463917526;0;0;0;0;485
"Geburtshäuser mit Zürcher Leistungsauftrag";600;48.348106365834;602;48.5092667203868;39;3.14262691377921;0;0;0;0;1241
"Klinik Im Park";624;8.89142205756626;953;13.5793673411228;1999;28.4838985465945;2484;35.3946993445426;958;13.6506127101738;7018
"Privatklinik Bethanien";506;13.5005336179296;787;20.9978655282817;1176;31.3767342582711;1004;26.7876200640342;275;7.33724653148346;3748
"Klinik Lindberg";26;1.90197512801756;154;11.2655449890271;579;42.3555230431602;457;33.4308705193855;151;11.0460863204097;1367
"Klinik Pyramide am See";63;3.20447609359105;268;13.6317395727365;877;44.6083418107833;641;32.6042726347915;117;5.95116988809766;1966
"Klinik Tiefenbrunnen";3;4.6875;15;23.4375;33;51.5625;13;20.3125;0;0;64
"Eulachklinik";0;0;2;100;0;0;0;0;0;0;2
"Spitäler ohne Zürcher Leistungsauftrag";1222;8.62689728203318;2179;15.3829862336746;4664;32.9262266148959;4599;32.4673490998941;1501;10.5965407695023;14165
"Total Kanton Zürich";36510;15.1297277809318;46155;19.1266114962725;67137;27.8215429753059;56859;23.5623443411669;34652;14.3597734063229;241313
"Spitäler Schaffhausen";1290;13.7658734393341;1925;20.542097961797;2262;24.1382990075766;2053;21.90801408601;1841;19.6457155052823;9371
