"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Total"
"Universitätsspital Zürich";14965;1553;3686;2844;1305;1407;4004;1455;31219
"Kantonsspital Winterthur";247;20236;2096;108;34;59;953;988;24721
"Stadtspital Triemli";15121;226;876;3633;1086;151;391;251;21735
"Klinik Hirslanden";5681;618;1346;1262;590;2070;2092;700;14359
"See-Spital Standort Horgen";1637;37;65;95;4928;34;47;20;6863
"See-Spital Standort Kilchberg";1894;73;230;332;700;86;203;54;3572
"Spital Uster";234;620;211;51;15;109;8290;1209;10739
"Spital Limmattal";632;56;246;8772;21;22;83;15;9847
"Spital Bülach";210;209;8772;561;13;8;249;17;10039
"Spital Zollikerberg";5191;239;390;330;99;1195;2341;426;10211
"GZO AG Spital Wetzikon";127;266;63;33;7;156;1159;8081;9892
"Stadtspital Waid";6975;88;526;733;47;33;340;49;8791
"Schulthess-Klinik";1649;340;674;665;239;443;685;418;5113
"Kinderspital Zürich";2205;384;829;662;287;372;696;392;5827
"Spital Männedorf";255;45;84;60;65;5017;217;708;6451
"Universitätsklinik Balgrist";1148;211;361;386;123;210;467;314;3220
"Spital Affoltern";174;7;11;3037;16;2;5;8;3260
"Paracelsus-Spital Richterswil";646;86;56;143;770;63;94;114;1972
"Limmatklinik";376;70;122;137;41;42;141;78;1007
"Klinik Lengg";111;58;55;52;15;16;40;34;381
"Uroviva Klinik für Urologie";90;17;747;74;10;7;33;4;982
"Adus Medica";158;289;384;87;12;3;56;17;1006
"Klinik Susenberg";106;3;13;16;8;8;17;5;176
"Sune-Egge";68;9;3;5;6;3;8;6;108
"Spitäler mit Zürcher Leistungsauftrag";59900;25740;21846;24078;10437;11516;22611;15363;191491
"Geburtshaus Zürcher Oberland";25;173;19;2;4;29;110;209;571
"Geburtshaus Delphys";384;19;23;37;4;15;14;0;496
"Geburtshäuser mit Zürcher Leistungsauftrag";409;192;42;39;8;44;124;209;1067
"Klinik Im Park";2404;151;333;571;1002;244;275;108;5088
"Privatklinik Bethanien";1622;132;371;323;114;197;496;73;3328
"Klinik Lindberg";24;920;62;7;0;4;26;19;1062
"Klinik Pyramide am See";498;81;120;142;83;218;158;59;1359
"Klinik Tiefenbrunnen";9;2;5;4;1;11;2;8;42
"Eulachklinik";0;6;0;0;0;0;1;1;8
"Spitäler ohne Zürcher Leistungsauftrag";4557;1292;891;1047;1200;674;958;268;10887
"Total Kanton Zürich";64866;27224;22779;25164;11645;12234;23693;15840;203445
"Spitäler Schaffhausen";26;849;50;8;4;3;9;6;955
"Ausserkantonale Nicht-Listenspitäler";2215;2287;909;1954;615;532;788;739;10039
"Total Zürcher PatientInnen";67107;30360;23738;27126;12264;12769;24490;16585;214439
