"Kanton";"2015";"2016";"% Änd. Vorjahr"
"ZH";198434;203637;2.62203049880565
"BE";693;760;9.66810966810967
"LU";551;581;5.44464609800364
"UR";19;27;42.1052631578947
"SZ";545;646;18.5321100917431
"OW";27;27;0
"NW";36;41;13.8888888888889
"GL";93;94;1.0752688172043
"ZG";674;836;24.0356083086053
"FR";30;16;-46.6666666666667
"SO";106;107;0.943396226415105
"BS";308;324;5.1948051948052
"BL";207;235;13.5265700483092
"SH";1108;1172;5.77617328519855
"AR";181;128;-29.2817679558011
"AI";13;13;0
"SG";1370;1478;7.88321167883212
"GR";1477;1386;-6.16113744075829
"AG";1210;1210;0
"TG";1135;1215;7.04845814977975
"TI";331;342;3.32326283987916
"VD";134;133;-0.74626865671642
"VS";186;158;-15.0537634408602
"NE";7;11;57.1428571428571
"GE";60;43;-28.3333333333333
"JU";8;11;37.5
"Total ohne Zürich";10509;10994;4.61509182605386
"Total Zürcher PatientInnen";208943;214631;2.7222735387163
