"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess-Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";3973;100;6327;1351;796;430;104;225;71;1813;48;4728;103;1456;87;150;121;74;133;7;6;21;97;62;22283;492;266;7;227;6;998;14;1119
"Dermatologie";"DER1";69;0;10;3;0;4;0;1;0;2;1;9;0;14;1;0;0;0;0;0;0;0;0;0;114;3;1;0;0;0;4;0;1
"";"DER1.1";47;0;12;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;62;2;1;0;0;0;3;0;
"";"DER1.2";5;0;1;0;0;0;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"DER2";29;0;13;2;2;0;0;0;0;1;0;9;0;0;2;0;0;0;0;0;0;0;0;2;60;1;0;0;0;0;1;0;2
"Hals-Nasen-Ohren";"HNO1";292;0;22;38;19;68;7;8;0;11;1;41;0;93;13;0;0;0;18;0;0;29;0;0;660;10;11;1;27;0;49;0;15
"";"HNO1.1";240;3;1;13;6;5;0;1;0;0;0;23;0;19;0;0;1;0;14;0;0;0;0;0;326;3;17;0;4;0;24;0;15
"";"HNO1.1.1";6;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"HNO1.2";180;1;0;84;19;41;11;3;0;17;0;37;0;1;4;0;0;0;56;0;0;86;0;0;540;4;1;2;2;0;9;0;31
"";"HNO1.2.1";0;0;0;17;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0;0;0;0;0;0;0;1
