"Spitalname";"Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Patienten Kanton ZH in %"
"Zürcher RehaZentrum Wald";2284;68.7933450087566;20.5779334500876;80.9982486865149
"Rehaklinik Zollikerberg";581;74.7538726333907;40.2753872633391;90.5335628227194
"Rehaklinik Kilchberg";287;71.6620209059233;19.8606271777003;72.8222996515679
"Rehaklinik Limmattal";48;58.7083333333333;25;83.3333333333333
"Universitätsklinik Balgrist";343;61.5014577259475;35.8600583090379;76.3848396501458
"Klinik Susenberg";266;74.0751879699248;47.3684210526316;95.4887218045113
"Kinderspital Zürich";219;9.57534246575342;7.30593607305936;34.703196347032
"Klinik Lengg";599;67.9098497495826;33.3889816360601;89.983305509182
"Total Kanton Zürich";4627;66.4609898422304;26.7559974065269;81.1757078020316
"Rehaklinik Zurzach";2594;69.0003855050116;31.2259059367772;42.5212027756361
"Rehaklinik Baden";564;75.2287234042553;19.3262411347518;36.7021276595745
"Rehaklinik Bellikon";1549;50.286636539703;16.7850225952227;32.6016785022595
"aarReha Schinznach";1575;73.0825396825397;24.952380952381;12.952380952381
"Reha Rheinfelden";2414;70.7535211267606;28.3761391880696;0.952775476387738
"Klinik Gais";1071;64.2240896358543;22.3155929038282;16.3398692810458
"Rheinburg-Klinik";817;69.7784577723378;32.6805385556916;2.69277845777234
"REHAB Basel";431;55.5058004640371;16.4733178654292;2.08816705336427
"Zürcher RehaZentrum Davos";1439;61.1994440583739;20.4308547602502;52.3974982626824
"Rehaklinik Seewis";669;64.4095665171898;21.6741405082212;35.4260089686099
"Kliniken Valens, Rehazentrum Valens";2083;63.5924147863658;35.6697071531445;15.7945271243399
"Rehaklinik Dussnang";1988;76.1519114688129;26.2575452716298;48.4406438631791
"Rehaklinik Zihlschlacht";1206;66.7470978441128;28.7728026533997;33.4991708126036
