"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Zürcher RehaZentren";71281.223;67105.979;70496.865;5.05303111664608
"Rehaklinik Zollikerberg";8700.593;8267.291;8913.109;7.81172454193277
"Rehaklinik Kilchberg";9921.558;9488.007;10501.187;10.678533437001
"Rehaklinik Limmattal";1056.997;4267.089;;
"Total Kanton Zürich";90960.371;89128.366;89911.161;0.878278190357462
"Rehaklinik Zurzach";65035.002;60574;;-6.85938627325636
"Rehaklinik Baden";14782.461;14070.019;;-4.81950874079763
"Rehaklinik Bellikon";91333.858;92999.564;;1.82375521682223
"aarReha Schinznach";30569.555;33069.228;;8.17700159521459
"Reha Rheinfelden";62605.257;62378.212;;-0.362661237857387
"Klinik Gais";27320.198;30894.233;;13.0820245153421
"Rheinburg-Klinik";20304.198;19985.733;;-1.56846874720193
"REHAB Basel";60059.504;61270.23;;2.01587745379983
"Rehaklinik Seewis";9755.956;9350.721;;-4.153719020463
"Kliniken Valens, Rehazentrum Valens";68238.597;76563.24;;12.1993173452848
"Rehaklinik Dussnang";24671.737;26041.864;;5.55342738940514
"Rehaklinik Zihlschlacht";52641.108;54479.757;;3.4928007214438
