"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Zürcher RehaZentrum Wald";3;7;3;117;0;0;30;6;0;3;0;3;46;13;0;145;12;22;17;1;0;0;0;0;0;428;1850;6;2284
"Rehaklinik Zollikerberg";2;2;0;11;0;0;2;0;0;1;0;0;4;0;0;7;3;7;2;7;0;0;0;0;0;48;526;7;581
"Rehaklinik Kilchberg";2;6;1;22;0;4;2;0;0;3;2;1;5;0;0;3;0;19;1;1;0;0;0;0;0;72;209;6;287
"Rehaklinik Limmattal";0;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;4;0;0;0;0;0;0;0;7;40;1;48
"Universitätsklinik Balgrist";3;3;0;5;4;0;1;0;0;1;1;4;8;0;0;12;3;16;8;4;0;1;0;0;0;74;262;7;343
"Klinik Susenberg";0;2;0;1;0;0;0;4;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;1;0;10;254;2;266
"Kinderspital Zürich";23;9;1;3;2;2;2;4;3;3;7;3;4;0;2;19;7;24;12;3;4;2;0;0;1;140;76;3;219
"Klinik Lengg";2;4;0;10;2;1;0;5;0;2;0;0;10;0;0;4;4;9;2;0;0;0;0;0;0;55;539;5;599
"Total Kanton Zürich";35;33;5;169;8;7;39;19;3;13;10;11;78;13;2;190;29;103;42;16;4;3;0;1;1;834;3756;37;4627
"Rehaklinik Zurzach";67;73;5;26;3;7;10;17;4;63;39;36;77;1;2;35;10;946;22;11;2;9;0;3;0;1468;1103;23;2594
"Rehaklinik Baden";4;5;0;2;0;0;2;1;0;5;0;1;0;0;0;0;1;336;0;0;0;0;0;0;0;357;207;0;564
"Rehaklinik Bellikon";142;89;3;48;8;3;10;28;12;58;28;43;20;5;0;45;8;367;30;24;0;6;2;0;1;980;505;64;1549
"aarReha Schinznach";25;41;0;4;2;2;1;4;0;191;7;8;1;0;0;3;1;1077;0;1;0;0;0;1;0;1369;204;2;1575
"Reha Rheinfelden";41;30;0;3;1;2;1;1;4;343;231;729;3;0;0;0;3;937;2;2;1;0;0;1;5;2340;23;51;2414
"Klinik Gais";11;18;2;7;2;1;3;6;1;7;5;11;36;79;25;479;9;32;129;2;0;1;0;0;0;866;175;30;1071
"Rheinburg-Klinik";2;0;0;2;1;0;2;1;0;0;0;0;0;120;20;529;12;1;54;0;0;0;0;0;0;744;22;51;817
"REHAB Basel";50;9;1;3;0;0;0;3;8;23;111;108;5;0;0;3;0;36;6;9;1;1;6;1;8;392;9;30;431
"Zürcher RehaZentrum Davos";6;9;6;19;1;1;6;14;1;6;8;5;17;12;1;67;432;26;26;6;0;0;0;0;1;670;754;15;1439
"Rehaklinik Seewis";4;12;6;45;1;1;20;9;0;2;0;2;5;3;2;120;115;26;10;2;0;1;0;0;0;386;237;46;669
"Kliniken Valens, Rehazentrum Valens";37;38;5;87;4;10;46;20;3;11;16;14;11;23;18;685;468;34;37;20;1;3;0;2;0;1593;329;161;2083
"Rehaklinik Dussnang";0;0;0;9;1;0;2;2;0;2;1;0;21;55;7;514;3;5;389;1;1;0;0;0;0;1013;963;12;1988
"Rehaklinik Zihlschlacht";6;12;2;9;0;2;1;3;0;3;0;1;49;31;4;237;2;23;381;5;0;2;0;0;0;773;404;29;1206
