"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Zürcher RehaZentren";40.54;157.691;81.533;71.04;108.358;11.75;470.912
"Rehaklinik Zollikerberg";1.68;17.19;13.11;2.35;6.78;1.74;42.85
"Rehaklinik Kilchberg";6.5;30.53;16.638;1.56;6.56;0;61.788
"Total Kanton Zürich";48.72;205.411;111.281;74.95;121.698;13.49;575.55
"in %";0.0846494657284337;0.356895143775519;0.1933472330814;0.130223264703327;0.211446442533229;0.0234384501780905;1
"Rehaklinik Zurzach";33.102;128.08;96.289;17.554;55.478;2;332.503
"Rehaklinik Baden";9.12;31.59;15.308;4.35;18.65;0;79.018
"Rehaklinik Bellikon";43.268;152.105;140.675;84.9;80.856;18.276;520.08
"aarReha Schinznach";20.768;82.104;51.552;37.09;43.958;3.85;239.322
"Reha Rheinfelden";22.936;165.336;147.383;67.646;75.804;18.97;498.075
"Klinik Gais";19.7;36.65;43.388;29.114;55.608;10.17;194.63
"Rheinburg-Klinik";7.64;56.88;33.241;17.88;29.042;2.45;147.133
"REHAB Basel";28.472;177.584;96.446;60.506;50.216;9.668;422.892
"Rehaklinik Seewis";4.74;19.294;11.9;10.92;32.37;0.5;79.724
"Kliniken Valens, Rehazentrum Valens";40.372;200.081;124.744;88.716;95.91;13.582;563.405
"Rehaklinik Dussnang";7.93;50.961;24.94;11.56;61.474;2.87;159.735
"Rehaklinik Zihlschlacht";21.24;137.657;98.56;16.402;44.224;0;318.083
