"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Zürcher RehaZentrum Wald";3;20;1;140;1;0;25;9;0;3;0;3;26;7;0;159;7;25;20;1;0;2;0;0;0;452;1712;4;2168
"RehaClinic Zollikerberg";2;1;0;4;0;0;2;2;0;1;0;0;0;2;0;6;1;4;1;1;0;0;0;0;0;27;482;11;520
"RehaClinic Kilchberg";0;4;0;24;0;0;1;0;0;3;0;0;2;0;0;1;0;7;0;1;0;0;0;0;0;43;249;2;294
"Universitätsklinik Balgrist";4;0;2;10;0;0;3;5;2;3;0;0;6;2;0;8;5;16;9;7;0;1;0;0;3;86;288;9;383
"Klinik Susenberg";0;1;0;3;0;0;0;0;0;1;1;0;1;0;0;4;1;5;3;1;0;0;0;0;0;21;308;1;330
"Kinderspital Zürich";15;15;3;5;1;0;2;8;6;5;3;3;2;1;1;15;5;11;10;4;8;0;2;0;0;125;63;4;192
"Klinik Lengg";1;1;0;3;0;1;0;1;0;0;0;0;3;0;0;3;3;3;2;0;1;0;0;0;0;22;475;2;499
"Total Kanton Zürich";25;42;6;189;2;1;33;25;8;16;4;6;40;12;1;196;22;71;45;15;9;3;2;0;3;776;3577;33;4386
"RehaClinic Zurzach";93;104;6;53;14;18;13;22;4;68;22;37;67;3;3;38;10;1042;25;14;5;12;1;3;0;1677;1319;17;3013
"RehaClinic Baden";6;22;0;9;2;1;2;1;0;13;1;6;1;0;0;1;1;273;1;1;0;0;1;1;0;343;441;5;789
"Rehaklinik Bellikon";87;116;4;48;13;15;20;29;9;44;60;56;21;3;1;83;27;290;47;13;0;8;0;0;0;994;409;105;1508
"aarReha Schinznach";11;86;2;0;4;6;0;4;0;162;0;5;1;0;0;8;0;1033;3;2;1;0;0;0;0;1328;241;7;1576
"Reha Rheinfelden";51;51;0;3;3;7;0;12;6;245;257;651;9;0;0;5;1;723;3;4;0;5;0;0;7;2043;57;42;2142
"Klinik Gais";24;66;7;28;4;6;4;17;3;11;15;18;63;108;23;640;12;74;173;7;0;4;0;1;0;1308;377;33;1718
"Rheinburg-Klinik";4;3;1;0;1;1;0;1;0;1;0;2;1;79;22;498;9;1;37;1;0;0;0;0;0;662;47;50;759
"REHAB Basel";26;10;0;3;0;0;0;3;6;31;125;131;2;0;0;2;1;23;1;8;6;3;2;2;15;400;20;30;450
"Zürcher RehaZentrum Davos";4;17;0;16;2;1;0;12;0;5;6;4;30;14;1;80;412;36;22;3;0;2;0;0;0;667;896;19;1582
"Reha Seewis";1;51;14;56;0;5;22;27;0;0;2;4;10;4;2;151;101;25;15;2;0;0;0;0;0;492;304;24;820
"Kliniken Valens, Rehabilitationszentrum";32;31;7;93;3;6;59;17;3;17;12;19;6;48;12;1237;539;33;53;10;2;3;1;1;0;2244;326;210;2780
"kneipp-hof Dussnang";0;0;1;9;1;0;11;0;0;3;0;0;28;83;5;482;2;17;317;3;0;0;0;0;0;962;1042;4;2008
"Rehaklinik Zihlschlacht";5;8;2;7;0;1;3;4;0;3;3;4;56;24;6;235;7;16;356;3;0;1;0;0;0;744;302;2;1048
