"Spitalname";"2015";"2016";"2017";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";2113;2149;2168;0.884132154490458
"RehaClinic Zollikerberg";526;564;520;-7.80141843971631
"RehaClinic Kilchberg";332;310;294;-5.16129032258065
"Universitätsklinik Balgrist";385;402;383;-4.72636815920398
"Klinik Susenberg";370;416;330;-20.6730769230769
"Kinderspital Zürich";208;198;192;-3.03030303030303
"Klinik Lengg";389;457;499;9.19037199124726
"Total Kanton Zürich";4323;4496;4386;-2.44661921708185
"RehaClinic Zurzach";2904;3013;;3.7534435261708
"RehaClinic Baden";819;789;;-3.66300366300366
"Rehaklinik Bellikon";1628;1508;;-7.37100737100738
"aarReha Schinznach";1430;1576;;10.2097902097902
"Reha Rheinfelden";2095;2142;;2.24343675417662
"Klinik Gais";1759;1718;;-2.33086981239341
"Rheinburg-Klinik";736;759;;3.125
"REHAB Basel";388;450;;15.979381443299
"Zürcher RehaZentrum Davos";1510;1582;;4.76821192052981
"Reha Seewis";801;820;;2.37203495630463
"Kliniken Valens, Rehabilitationszentrum";2646;2780;;5.06424792139077
"kneipp-hof Dussnang";1991;2008;;0.853842290306384
"Rehaklinik Zihlschlacht";967;1048;;8.37642192347465
