"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Zürcher RehaZentrum Wald";26.904;122.88;57.06;43.18;54.22;6.02;310.264
"RehaClinic Zollikerberg";1.46;17.2;15.92;4.5;5.7;1.1;45.88
"RehaClinic Kilchberg";4.6;16.97;18.75;2.1;6.3;0;48.72
"Total Kanton Zürich";32.964;157.05;91.73;49.78;66.22;7.12;404.864
"in %";0.0814199336073348;0.387908038254821;0.226569909895669;0.122954868795447;0.163561097059753;0.0175861523869744;1
"RehaClinic Zurzach";32.024;107.331;90.754;76.346;44.506;2.75;353.711
"RehaClinic Baden";5.37;16.46;13.768;4.9;14.79;0;55.288
"Rehaklinik Bellikon";35.952;101.204;112.544;67.43;67.49;25.69;410.31
"aarReha Schinznach";14.41;49.409;37.512;24.39;33.892;3.42;163.033
"Reha Rheinfelden";23.09;123.548;124.097;61.234;61.968;15.39;409.327
"Klinik Gais";20.22;17.65;28.548;22.658;40.272;0;129.348
"Rheinburg-Klinik";6.54;46.91;33.05;14.72;26.022;0.93;128.172
"REHAB Basel";25.884;144.701;69.349;51.274;33.88;9.16;334.248
"Zürcher RehaZentrum Davos";13.378;50.667;25.75;23.19;56.5;6;175.485
"Reha Seewis";7.75;15.48;9.07;8.648;29.262;1.44;71.65
"Kliniken Valens, Rehabilitationszentrum";34.706;200.3;98.959;69.97;90.412;15.91;510.257
"kneipp-hof Dussnang";6.07;29.422;23.184;21.806;62.508;2.85;145.84
"Rehaklinik Zihlschlacht";16.81;141.346;84.136;20.306;37.042;10.86;310.5
