"RehaLG";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"MAHD (Tage)";"Anzahl Pflegetage"
"Muskuloskelettal";5499;72.3582469539916;40.6437534097109;22.5981087470449;121312
"Neurologisch";2529;67.1660735468565;30.0514037168841;37.6809015421115;87370
"Querschnittslähmung";173;57.8554913294798;23.6994219653179;52.0404624277457;7535
"Kardiovaskulär";1408;69.6214488636364;29.9715909090909;22.1448863636364;30638
"Pulmonal";487;65.9466119096509;28.1314168377823;22.4250513347023;10614
"Internistisch-onkologisch";1342;68.9217585692996;36.7362146050671;21.650521609538;28031
"Psychosomatisch-sozialmedizinisch";544;48.9356617647059;14.3382352941176;32.4136029411765;17188
"Neurologisch inkl. Neuro-orthopädisch (Kinder)";31;7.7741935483871;6.45161290322581;42.3548387096774;1208
"Allgemein pädiatrisch";45;10.5111111111111;11.1111111111111;45.7777777777778;2870
"Übrige Rehabilitation";875;65.0822857142857;23.5428571428571;23.2994285714286;23120
"Total Zürcher PatientInnen";12933;68.4054743678961;33.8591200804144;26.3754735946803;329886
