"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";476.144;470.912;292.788;-37.8253261755912
"Rehaklinik Zollikerberg";46.989;42.85;50.485;17.8179696616103
"Rehaklinik Kilchberg";61.77;61.788;78;26.238104486308
"Rehaklinik Limmattal";26.62;;;
"Total Kanton Zürich";611.523;575.55;421.273;-26.8051429067848
"Rehaklinik Zurzach";332.503;343.88;;3.42162326354951
"Rehaklinik Baden";79.018;81.211;;2.77531701637601
"Rehaklinik Bellikon";520.08;546.013;;4.98634825411475
"aarReha Schinznach";239.322;255.936;;6.9421114648883
"Reha Rheinfelden";498.075;489.812;;-1.6589871003363
"Klinik Gais";194.63;209.22;;7.49627498330165
"Rheinburg-Klinik";147.133;143.04;;-2.78183684149717
"REHAB Basel";422.892;435.474;;2.97522771771517
"Zürcher RehaZentrum Davos";;;;
"Rehaklinik Seewis";79.724;69.348;;-13.014901409864
"Kliniken Valens, Rehazentrum Valens";563.405;563.167;;-0.0422431465819328
"Rehaklinik Dussnang";159.735;176.661;;10.5963001220772
"Rehaklinik Zihlschlacht";318.083;346.834;;9.03883577556801
