"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Zürcher RehaZentrum Wald";39990.089;449.677;0;2230.888;42670.654
"Rehaklinik Zollikerberg";9746.806;417.628;0;69.65;10234.084
"Rehaklinik Kilchberg";12415.367;395.314;0;86.78;12897.461
"Universitätsklinik Balgrist";18414.623;9597.902;0;1386.416;29398.941
"Klinik Susenberg";5652.203;105.607;0;0;5757.81
"Kinderspital Zürich";18965.496;2001.705;0;2047.608;23014.809
"Klinik Lengg";17855.055;2768.918;0;0;20623.973
"Total Kanton Zürich";123039.639;15736.751;0;5821.342;144597.732
"Rehaklinik Zurzach";50669.536;3678.259;0;2942.23;57290.025
"Rehaklinik Baden";14358.7;711.567;0;58.432;15128.699
"Rehaklinik Bellikon";75713.219;17197.788;0;6963.589;99874.596
"aarReha Schinznach";34563.713;4240.223;0;300.285;39104.221
"Reha Rheinfelden";54772.31;8004.899;0;744.338;63521.547
"Klinik Gais";16257.951;150.458;0;29.464;16437.873
"Rheinburg-Klinik";19629.006;482.717;0;309.244;20420.967
"REHAB Basel";59706.311;5548.378;0;550.149;65804.838
"Rehaklinik Seewis";11428.943;434.458;0;0;11863.401
"Kliniken Valens, Rehazentrum Valens";66255.538;5508.265;0;7129.616;78893.419
"Rehaklinik Dussnang";25573.154;2446.069;0;2154.356;30173.579
"Rehaklinik Zihlschlacht";55071.241;2749.482;0;509.032;58329.755
