"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";2106;2284;2188;-4.2031523642732
"Rehaklinik Zollikerberg";549;581;631;8.60585197934596
"Rehaklinik Kilchberg";282;287;321;11.8466898954704
"Rehaklinik Limmattal";144;48;0;-100
"Universitätsklinik Balgrist";319;343;227;-33.8192419825073
"Klinik Susenberg";265;266;218;-18.0451127819549
"Kinderspital Zürich";193;219;234;6.84931506849316
"Klinik Lengg";518;599;557;-7.01168614357263
"Total Kanton Zürich";4376;4627;4376;-5.42468121893236
"Rehaklinik Zurzach";2594;2668;;2.85273708558211
"Rehaklinik Baden";564;653;;15.7801418439716
"Rehaklinik Bellikon";1549;1669;;7.74693350548741
"aarReha Schinznach";1575;1760;;11.7460317460317
"Reha Rheinfelden";2414;2339;;-3.10687655343828
"Klinik Gais";1071;1282;;19.7012138188609
"Rheinburg-Klinik";817;739;;-9.54712362301101
"REHAB Basel";431;520;;20.6496519721578
"Zürcher RehaZentrum Davos";1439;1370;;-4.79499652536484
"Rehaklinik Seewis";669;746;;11.5097159940209
"Kliniken Valens, Rehazentrum Valens";2083;2295;;10.1776284205473
"Rehaklinik Dussnang";1988;2050;;3.11871227364184
"Rehaklinik Zihlschlacht";1206;1484;;23.0514096185738
