"Spitalname";"2020";"2021";"2022";"% Änd. Vorjahr"
"Zürcher RehaZentrum Wald";1722;1850;1765;-4.59459459459459
"Rehaklinik Zollikerberg";517;526;578;9.88593155893536
"Rehaklinik Kilchberg";232;209;264;26.3157894736842
"Rehaklinik Limmattal";107;40;0;-100
"Universitätsklinik Balgrist";239;262;137;-47.7099236641221
"Klinik Susenberg";251;254;198;-22.0472440944882
"Kinderspital Zürich";65;76;77;1.3157894736842
"Klinik Lengg";462;539;488;-9.46196660482375
"Zürcher PatientInnen im Kanton Zürich";3595;3756;3507;-6.62939297124601
"Ausserkantonale Kliniken mit Zürcher Leistungsauftrag";;;;
"Rehaklinik Zurzach";1103;1120;;1.5412511332729
"Rehaklinik Baden";207;273;;31.8840579710145
"Rehaklinik Bellikon";505;548;;8.51485148514852
"aarReha Schinznach";204;278;;36.2745098039216
"Reha Rheinfelden";23;17;;-26.0869565217391
"Klinik Gais";175;220;;25.7142857142857
"Rheinburg-Klinik";22;21;;-4.54545454545454
"REHAB Basel";9;13;;44.4444444444444
"Zürcher RehaZentrum Davos";754;754;;0
"Rehaklinik Seewis";237;298;;25.7383966244726
"Kliniken Valens, Rehazentrum Valens";329;381;;15.8054711246201
"Rehaklinik Dussnang";963;1042;;8.20353063343717
"Rehaklinik Zihlschlacht";404;515;;27.4752475247525
"Ausserkantonale Kliniken ohne Zürcher Leistungsauftrag";3395;3697;;8.89543446244476
"Total Zürcher PatientInnen";11925;12933;;8.45283018867924
