"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Zürcher RehaZentrum Wald";4;7;1;114;1;0;33;6;0;0;1;4;41;10;2;150;6;23;13;2;1;0;0;0;0;419;1765;4;2188
"Rehaklinik Zollikerberg";2;1;0;8;0;0;3;5;0;2;0;0;2;0;0;10;4;7;4;3;1;0;0;0;0;52;578;1;631
"Rehaklinik Kilchberg";1;8;0;11;1;1;1;3;0;2;0;0;2;0;0;1;0;18;3;0;0;1;0;1;0;54;264;3;321
"Universitätsklinik Balgrist";2;2;1;12;0;1;1;0;2;2;1;0;2;0;0;9;5;19;17;0;0;1;0;0;0;77;137;13;227
"Klinik Susenberg";0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;1;0;11;1;0;0;0;0;0;0;17;198;3;218
"Kinderspital Zürich";23;16;2;2;3;1;3;4;5;9;7;4;2;2;0;20;1;25;12;3;2;2;0;1;2;151;77;6;234
"Klinik Lengg";0;5;0;7;1;0;0;4;0;1;2;0;15;0;0;8;6;14;2;1;1;0;0;1;0;68;488;1;557
"Total Kanton Zürich";32;40;4;157;6;3;41;22;7;16;11;8;64;12;2;199;22;117;52;9;5;4;0;3;2;838;3507;31;4376
"Rehaklinik Zurzach";59;94;5;47;7;7;8;22;3;62;30;42;63;0;1;24;11;989;17;7;0;7;0;7;1;1513;1120;35;2668
"Rehaklinik Baden";3;6;0;2;0;0;0;0;1;4;1;1;1;0;0;0;0;356;2;1;0;0;0;0;0;378;273;2;653
"Rehaklinik Bellikon";150;94;4;39;10;8;18;32;16;52;18;26;8;4;1;41;12;470;41;19;0;10;0;0;2;1075;548;46;1669
"aarReha Schinznach";28;42;1;11;0;2;0;4;1;171;8;17;1;0;0;5;0;1178;5;3;0;1;0;0;0;1478;278;4;1760
"Reha Rheinfelden";24;12;1;0;2;1;0;2;3;413;231;743;3;0;0;1;3;834;2;3;1;0;0;1;4;2284;17;38;2339
"Klinik Gais";15;33;1;13;3;5;12;9;1;9;15;18;46;87;18;535;18;24;153;2;0;0;0;0;0;1017;220;45;1282
"Rheinburg-Klinik";0;0;0;1;0;0;0;0;0;0;0;0;2;97;26;509;9;1;36;0;0;0;0;0;0;681;21;37;739
"REHAB Basel";47;16;0;5;1;1;1;6;8;32;139;154;1;0;1;3;2;38;2;2;5;2;2;0;10;478;13;29;520
"Zürcher RehaZentrum Davos";3;10;0;22;0;1;10;7;0;2;5;2;17;13;1;75;379;29;19;4;1;1;0;0;0;601;754;15;1370
"Rehaklinik Seewis";4;27;13;39;0;4;16;18;0;2;5;4;16;1;0;99;135;23;13;4;0;0;0;0;0;423;298;25;746
"Kliniken Valens, Rehazentrum Valens";34;46;1;84;5;6;48;21;3;18;17;37;14;23;24;678;526;53;44;29;4;6;2;4;0;1727;381;187;2295
"Rehaklinik Dussnang";2;1;0;17;3;0;3;3;0;3;2;1;41;60;10;499;3;9;340;2;0;0;0;0;0;999;1042;9;2050
"Rehaklinik Zihlschlacht";9;9;2;13;2;2;1;4;1;4;4;6;71;26;5;282;7;28;452;4;0;1;0;1;0;934;515;35;1484
