"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Zürcher RehaZentrum Wald";25.604;107.464;57.89;42.68;53.15;6;292.788
"Rehaklinik Zollikerberg";3.43;20.51;12.955;5.13;6.74;1.72;50.485
"Rehaklinik Kilchberg";6.08;42.26;20.96;1.92;6.78;0;78
"Total Kanton Zürich";35.114;170.234;91.805;49.73;66.67;7.72;421.273
"in %";0.0833521255812739;0.404094257168155;0.217922819644269;0.118046967168558;0.158258421498648;0.0183254089390965;1
"Rehaklinik Zurzach";31.672;143.77;90.048;20.684;55.704;2.002;343.88
"Rehaklinik Baden";5.79;32.73;18.341;4.39;19.96;0;81.211
"Rehaklinik Bellikon";43.652;162.846;147.737;93.858;79.54;18.38;546.013
"aarReha Schinznach";22.306;87.614;55.57;38.918;47.428;4.1;255.936
"Reha Rheinfelden";23.106;167.319;139.105;66.862;74.9;18.52;489.812
"Klinik Gais";18.4;46.39;37.44;36.25;60.6;10.14;209.22
"Rheinburg-Klinik";9.75;55.45;32.27;15.48;27.64;2.45;143.04
"REHAB Basel";28.65;184.824;99.32;60.238;51.842;10.6;435.474
"Rehaklinik Seewis";4.32;18.64;11.45;6.06;28.878;0;69.348
"Kliniken Valens, Rehazentrum Valens";41.502;198.321;114.676;98.478;96.16;14.03;563.167
"Rehaklinik Dussnang";9.48;66.2;27.051;11.36;62.57;0;176.661
"Rehaklinik Zihlschlacht";23.82;148.99;107.854;18.818;47.352;0;346.834
