"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Zürcher RehaZentrum Wald";43147.542;228.709;0;1205.793;44582.044
"Rehaklinik Zollikerberg";8388.849;291.206;0;5111.196;13791.251
"Rehaklinik Kilchberg";11237.06;352.199;0;13.612;11602.871
"Universitätsklinik Balgrist";18304.247;11639.267;0;342.52;30286.034
"Klinik Susenberg";4981.273;78.782;0;0;5060.055
"Kinderspital Zürich";19395.513;1300.575;0;1926.255;22622.343
"Klinik Lengg";19267.769;2710.758;0;0.18;21978.707
"Total Kanton Zürich";124722.253;16601.496;0;8599.556;149923.305
"Rehaklinik Zurzach";53130.964;3425.519;0;827.721;57384.204
"Rehaklinik Baden";14436.646;716.575;0;467.378;15620.599
"Rehaklinik Bellikon";75561.998;16672.928;0;6911.638;99146.564
"aarReha Schinznach";33461.007;2862.772;0;911.784;37235.563
"Reha Rheinfelden";54022.534;6432.646;0;3815.351;64270.531
"Klinik Gais";15135.5;66.168;0;31.672;15233.34
"Rheinburg-Klinik";19868.309;366.307;0;335.096;20569.712
"REHAB Basel";55192.759;5127.057;0;4387.825;64707.641
"Rehaklinik Seewis";12354.444;126.785;0;111.217;12592.446
"Kliniken Valens, Rehazentrum Valens";68639.149;5586.187;0;6473.967;80699.303
"Rehaklinik Dussnang";25280.356;1688.177;0;732.823;27701.356
"Rehaklinik Zihlschlacht";58476.695;2348.446;0;461.273;61286.414
