"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";132141;125885;129299;2.71199904674901
"Psychiatrische Universitätsklinik Zürich - Forensik";32796;33239;31907;-4.00734077439153
"Integrierte Psychiatrie Winterthur - ZU";83957;78111;86235;10.4005837846142
"Clienia Privatklinik Schlössli";79095;83094;84376;1.54283101066262
"Sanatorium Kilchberg";63416;64602;64557;-0.0696572861521361
"Zentrum für Psychiatrie und Psychotherapie Affoltern";8606;9707;10351;6.6343875553724
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";400011;394638;406725;3.06280692685448
"Psychiatrische Universitätsklinik Zürich - KJPP";17764;19470;20241;3.95993836671802
"Modellstation SOMOSA";4150;5069;4769;-5.9183270862103
"Kispi Zürich - Psychosomatik und Psychiatrie";3848;3876;4221;8.90092879256965
"KSW - Sozialpädiatrisches Zentrum";1571;1822;2242;23.0515916575192
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";27333;30237;31473;4.08770711380098
"Forel Klinik";31483;34070;34577;1.48811270912828
"Suchtfachklinik Zürich";3834;8604;10499;22.024639702464
"USZ - Zentrum für Essstörungen";3926;3664;4270;16.5393013100437
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";39243;46338;49346;6.49143251758815
"Privatklinik Hohenegg";21837;23599;23824;0.953430230094487
"Total Kanton Zürich";488424;494812;511368;3.34591723725375
"Clienia Privatklinik Littenheid";82956;85944;;3.60190944597136
"Spitäler Schaffhausen";21403;17885;;-16.4369480913891
"Klinik Meissenberg";25198;23889;;-5.19485673466148
"Klinik Sonnenhof";13587;12853;;-5.40222271288732
