"Spitalname";"Austritte";"Anteil in %";"Day Mix Index";"ø-Alter Jahre";"Liegeklasse HPP in %";"ZH PatientInnen in %";"Notfalleintritte in %"
"Psychiatrische Universitätsklinik Zürich";4182;28.8056206088993;1.01129531005935;42.8158775705404;3.68244858919177;96.1501673840268;51.2434241989479
"Psychiatrische Universitätsklinik Zürich - Forensik";54;0.37195205951233;0.967810246585033;36.0185185185185;0;77.7777777777778;1.85185185185185
"Integrierte Psychiatrie Winterthur - ZU";3321;22.8750516600083;1.07862733038365;41.2101776573321;4.00481782595604;96.0554049984944;70.2198133092442
"Clienia Privatklinik Schlössli";2749;18.9351150296184;1.01304161111264;44.8595853037468;15.5692979265187;94.5798472171699;35.4674427064387
"Sanatorium Kilchberg";1995;13.74156219865;1.00320170664137;45.7558897243108;17.8947368421053;89.4235588972431;47.0175438596491
"Zentrum für Psychiatrie und Psychotherapie Affoltern";397;2.73453643752583;1.08624965461418;39.1435768261965;5.79345088161209;82.367758186398;33.5012594458438
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";12698;87.4638379942141;1.02241790979196;43.1565600882029;8.62340526067097;94.2195621357694;51.3624192786266
"Psychiatrische Universitätsklinik Zürich - KJPP";390;2.68632042981127;1.43835741439167;13.6820512820513;0;99.4871794871795;44.8717948717949
"Modellstation SOMOSA";36;0.247968039674886;1.42351172252804;15.6666666666667;0;58.3333333333333;0
"Kispi Zürich - Psychosomatik und Psychiatrie";52;0.358176057308169;1.4605539190813;14.6923076923077;17.3076923076923;84.6153846153846;0
"KSW - Sozialpädiatrisches Zentrum";28;0.192864030858245;1.45515555340687;14.0714285714286;10.7142857142857;92.8571428571429;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";506;3.48532855765257;1.44013950398804;13.9486166007905;2.37154150197628;94.6640316205534;34.5849802371541
"Forel Klinik";589;4.05703264912522;0.832989952062381;45.5178268251273;0;72.4957555178268;0
"Suchtfachklinik Zürich";184;1.26739220278275;0.916937402111158;34.8586956521739;0;92.9347826086957;0
"USZ - Zentrum für Essstörungen";45;0.309960049593608;1.08181093316735;24.8222222222222;11.1111111111111;40;6.66666666666667
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";818;5.63438490150158;0.870850614346366;41.981662591687;0.611246943765281;75.3056234718826;0.366748166259169
"Privatklinik Hohenegg";496;3.41644854663177;0.95941518063567;50.5020161290323;100;55.4435483870968;0
"Total Kanton Zürich";14518;100;1.03211777595949;42.3233227717316;11.0759057721449;91.8446066951371;46.1496073839372
"Clienia Privatklinik Littenheid";2121;;1.07985075761561;35.04243281471;6.12918434700613;14.7571900047148;21.8293257897218
"Spitäler Schaffhausen";743;;1.01055085101102;46.721399730821;2.15343203230148;23.0148048452221;45.2220726783311
"Klinik Meissenberg";479;;0.960941924007818;41.3444676409186;16.0751565762004;26.7223382045929;14.8225469728601
"Klinik Sonnenhof";232;;1.51692547604058;14.4181034482759;0;12.0689655172414;56.4655172413793
