"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";324;7.74748923959828;1647;39.3830703012912;1690;40.4112864658058;347;8.29746532759445;174;4.16068866571019;4182
"Psychiatrische Universitätsklinik Zürich - Forensik";2;3.7037037037037;33;61.1111111111111;19;35.1851851851852;0;0;0;0;54
"Integrierte Psychiatrie Winterthur - ZU";493;14.84492622704;1243;37.4284853959651;1118;33.6645588678109;283;8.52152965974104;184;5.54049984944294;3321
"Clienia Privatklinik Schlössli";186;6.76609676245908;989;35.9767188068389;1136;41.3241178610404;301;10.9494361586031;137;4.98363041105857;2749
"Sanatorium Kilchberg";131;6.56641604010025;702;35.187969924812;794;39.7994987468672;228;11.4285714285714;140;7.01754385964912;1995
"Zentrum für Psychiatrie und Psychotherapie Affoltern";23;5.79345088161209;204;51.3853904282116;164;41.3098236775819;5;1.25944584382872;1;0.251889168765743;397
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";1159;9.12742164120334;4818;37.9429831469523;4921;38.7541345093716;1164;9.16679792093243;636;5.0086627815404;12698
"Psychiatrische Universitätsklinik Zürich - KJPP";390;100;0;0;0;0;0;0;0;0;390
"Modellstation SOMOSA";36;100;0;0;0;0;0;0;0;0;36
"Kispi Zürich - Psychosomatik und Psychiatrie";52;100;0;0;0;0;0;0;0;0;52
"KSW - Sozialpädiatrisches Zentrum";28;100;0;0;0;0;0;0;0;0;28
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";506;100;0;0;0;0;0;0;0;0;506
"Forel Klinik";4;0.67911714770798;185;31.4091680814941;381;64.6859083191851;19;3.2258064516129;0;0;589
"Suchtfachklinik Zürich";12;6.52173913043478;113;61.4130434782609;59;32.0652173913043;0;0;0;0;184
"USZ - Zentrum für Essstörungen";18;40;23;51.1111111111111;4;8.88888888888889;0;0;0;0;45
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";34;4.15647921760391;321;39.2420537897311;444;54.278728606357;19;2.32273838630807;0;0;818
"Privatklinik Hohenegg";8;1.61290322580645;99;19.9596774193548;311;62.7016129032258;67;13.508064516129;11;2.21774193548387;496
"Total Kanton Zürich";1707;11.7578178812509;5238;36.079349772696;5676;39.0962942554071;1250;8.61000137760022;647;4.45653671304587;14518
"Clienia Privatklinik Littenheid";548;25.8368694012258;777;36.6336633663366;663;31.2588401697313;100;4.71475719000471;33;1.55586987270156;2121
"Spitäler Schaffhausen";32;4.30686406460296;260;34.9932705248991;313;42.1265141318977;97;13.0551816958277;41;5.51816958277254;743
"Klinik Meissenberg";36;7.51565762004175;199;41.544885177453;206;43.0062630480167;34;7.09812108559499;4;0.835073068893528;479
"Klinik Sonnenhof";232;100;0;0;0;0;0;0;0;0;232
