"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";10;5;2;6;1;0;10;11;0;8;2;2;11;1;0;4;6;14;6;5;1;1;0;0;0;106;4021;55;4182
"Psychiatrische Universitätsklinik Zürich - Forensik";4;1;0;2;0;0;0;0;0;0;0;2;0;0;0;1;0;0;1;0;0;0;0;0;0;11;42;1;54
"Integrierte Psychiatrie Winterthur - ZU";9;8;1;3;0;1;1;5;0;0;0;3;24;3;0;7;5;25;12;2;2;0;0;0;0;111;3190;20;3321
"Clienia Privatklinik Schlössli";5;9;1;14;0;1;3;6;0;7;5;2;4;1;0;31;8;25;4;8;1;1;0;0;0;136;2600;13;2749
"Sanatorium Kilchberg";8;20;1;27;0;1;2;15;2;7;5;6;6;0;0;14;7;52;12;1;1;1;0;1;0;189;1784;22;1995
"Zentrum für Psychiatrie und Psychotherapie Affoltern";9;9;0;10;0;0;0;3;0;0;0;3;6;0;2;2;1;19;1;0;0;0;0;0;0;65;327;5;397
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";45;52;5;62;1;3;16;40;2;22;12;18;51;5;2;59;27;135;36;16;5;3;0;1;0;618;11964;116;12698
"Psychiatrische Universitätsklinik Zürich - KJPP";0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;2;388;0;390
"Modellstation SOMOSA";0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6;5;0;0;0;0;0;0;14;21;1;36
"Kispi Zürich - Psychosomatik und Psychiatrie";0;1;0;0;0;0;1;3;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;8;44;0;52
"KSW - Sozialpädiatrisches Zentrum";0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;26;0;28
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0;3;0;0;0;0;1;3;0;1;0;2;2;0;0;1;0;7;6;0;0;0;0;0;0;26;479;1;506
"Forel Klinik";1;3;1;13;1;1;1;4;0;3;5;8;17;5;2;21;5;22;47;1;0;0;0;0;0;161;427;1;589
"Suchtfachklinik Zürich";0;1;0;2;0;0;0;0;0;0;1;0;0;0;0;1;2;6;0;0;0;0;0;0;0;13;171;0;184
"USZ - Zentrum für Essstörungen";2;5;0;3;0;1;2;1;0;0;0;3;0;0;0;4;0;3;2;0;0;1;0;0;0;27;18;0;45
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";3;9;1;18;1;2;3;5;0;3;6;11;17;5;2;26;7;31;49;1;0;1;0;0;0;201;616;1;818
"Privatklinik Hohenegg";10;27;2;23;0;3;2;17;1;11;8;8;4;0;0;28;4;49;9;2;1;1;0;1;0;211;275;10;496
"Total Kanton Zürich";58;91;8;103;2;8;22;65;3;37;26;39;74;10;4;114;38;222;100;19;6;5;0;2;0;1056;13334;128;14518
"Clienia Privatklinik Littenheid";44;68;27;228;2;3;16;114;6;21;19;12;33;60;8;289;46;65;714;0;0;6;0;0;1;1782;313;26;2121
"Spitäler Schaffhausen";0;1;0;5;0;0;1;0;0;1;0;2;531;2;0;4;0;3;9;1;2;0;0;0;0;562;171;10;743
"Klinik Meissenberg";27;83;13;26;5;5;1;53;0;12;8;10;0;2;0;5;5;85;5;0;0;2;0;0;0;347;128;4;479
"Klinik Sonnenhof";0;0;0;1;0;0;2;1;0;0;0;0;4;15;0;178;0;1;2;0;0;0;0;0;0;204;28;0;232
