"Leistungsgruppe";"Anzahl Austritte";"ø-Alter Jahre";"Liegeklasse HPP in %";"MAHD Tage";"Pflegetage"
"F0 organische Störungen";924;75.4967532467532;16.5584415584416;34.0357142857143;30623
"F10 Alkohol";2236;45.992397137746;0.9391771019678;30.4557245080501;62793
"F11-F19 Drogen";1119;35.6050044682752;0.983020554066131;30.3896336014298;31000
"F2 Schizophrenie";2400;42.9625;3.5;38.7820833333333;80054
"F3 affektive Störungen";5163;45.0379624249467;15.398024404416;36.3021499128414;172783
"F4 neurotische Störungen";1929;37.9606013478486;9.69414204250907;28.5324002073613;50807
"F5 Verhaltensauffälligkeiten";215;30.5720930232558;12.093023255814;52.9813953488372;10259
"F6 Persönlichkeitsstörungen";1036;30.1013513513514;2.50965250965251;31.6225868725869;30011
"F7 Intelligenzstörungen";60;39.4166666666667;0;22.3333333333333;1265
"F8 Entwicklungsstörungen";75;23.7866666666667;4;38.32;2694
"F9 Störungen mit Beginn in Kindheit";211;16.7535545023697;3.3175355450237;45.3601895734597;9639
"Forensik";29;36.4137931034483;0;450.137931034483;21819
"Andere";38;47.3684210526316;13.1578947368421;20.3947368421053;26446
"Total";15435;43.3822481373502;8.53903466148364;35.0413994169096;530193
