"Spitalname";"Stationär";"Ambulant";"Langzeit";"Fallunab.";"Total"
"Psychiatrische Universitätsklinik Zürich";158324.097;44691.144;0;60780.266;263795.507
"Integrierte Psychiatrie Winterthur - ZU";71542.951;17517.493;16.455;13886.361;102963.26
"Clienia Privatklinik Schlössli";68402.473;7969.117;0;8293.897;84665.487
"Sanatorium Kilchberg";52567.905;7080.064;79.222;1956.562;61683.753
"Zentrum für Psychiatrie und Psychotherapie Affoltern";7718.035;755.227;0;228.77;8702.032
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";358555.461;78013.045;95.677;85145.856;521810.039
"Modellstation SOMOSA";2507.687;94.303;0;3573.167;6175.157
"Kispi Zürich - Psychosomatik und Psychiatrie";4327.471;281.861;0;105;4714.332
"KSW - Sozialpädiatrisches Zentrum";2217.722;3748.748;0;36.36;6002.83
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";9052.88;4124.912;0;3714.527;16892.319
"Forel Klinik";18165.43;2150.343;0;1944.235;22260.008
"Suchtfachklinik Zürich";6006.638;174.461;0;434.77;6615.869
"USZ - Zentrum für Essstörungen";4116.154;3364.469;0;559.069;8039.692
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";28288.222;5689.273;0;2938.074;36915.569
"Privatklinik Hohenegg";22242.31;1081.255;0;559.66;23883.225
"Total Kanton Zürich";418138.873;88908.485;95.677;92358.117;599501.152
