"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Psychiatrische Universitätsklinik Zürich";9489;7.33880385772512;46782;36.1812543020441;51379;39.736579555913;14606;11.2962977285207;7043;5.44706455579703;129299
"Psychiatrische Universitätsklinik Zürich - Forensik";354;1.10947441000407;23460;73.5261854765412;6998;21.9324913028489;1095;3.43184881060582;0;0;31907
"Integrierte Psychiatrie Winterthur - ZU";15090;17.4986954252914;24709;28.6530990896968;26626;30.8760943932278;12999;15.0739259001565;6811;7.89818519162753;86235
"Clienia Privatklinik Schlössli";4341;5.14482791315066;27971;33.1504219209254;36166;42.8628994026737;11410;13.5228026927088;4488;5.31904807054139;84376
"Sanatorium Kilchberg";2705;4.19009557445358;22685;35.1394891336338;27457;42.5314063540747;8048;12.4665024706848;3662;5.67250646715306;64557
"Zentrum für Psychiatrie und Psychotherapie Affoltern";377;3.6421601777606;5923;57.2215244903874;3946;38.1219205873829;88;0.850159404888417;17;0.164235339580717;10351
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";32356;7.95525232036388;151530;37.2561312926425;152572;37.5123240518778;48246;11.8620689655172;22021;5.41422336959862;406725
"Psychiatrische Universitätsklinik Zürich - KJPP";20241;100;0;0;0;0;0;0;0;0;20241
"Modellstation SOMOSA";4769;100;0;0;0;0;0;0;0;0;4769
"Kispi Zürich - Psychosomatik und Psychiatrie";4221;100;0;0;0;0;0;0;0;0;4221
"KSW - Sozialpädiatrisches Zentrum";2242;100;0;0;0;0;0;0;0;0;2242
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";31473;100;0;0;0;0;0;0;0;0;31473
"Forel Klinik";144;0.416461809873615;10866;31.4255140700466;22769;65.8501315903635;798;2.30789252971629;0;0;34577
"Suchtfachklinik Zürich";598;5.69578055052862;6620;63.0536241546814;3281;31.25059529479;0;0;0;0;10499
"USZ - Zentrum für Essstörungen";1477;34.5901639344262;2441;57.1662763466042;352;8.24355971896956;0;0;0;0;4270
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";2219;4.49681838446885;19927;40.3821991650792;26402;53.5038300976776;798;1.61715235277429;0;0;49346
"Privatklinik Hohenegg";336;1.41034251175285;4679;19.6398589657488;15265;64.074042981867;3050;12.8022162525185;494;2.07353928811283;23824
"Total Kanton Zürich";66384;12.98164922326;176136;34.4440794105224;194239;37.9841914237887;52094;10.1871841804728;22515;4.40289576195616;511368
"Clienia Privatklinik Littenheid";24266;28.2346644326538;28151;32.7550497998697;26313;30.6164479195755;5503;6.40300660895467;1711;1.99083123894629;85944
"Spitäler Schaffhausen";471;2.63349175286553;6416;35.8736371260833;8012;44.7973161867487;1912;10.6905227844562;1074;6.00503214984624;17885
"Klinik Meissenberg";1654;6.92368872702918;9127;38.2058688099125;11072;46.3476914060865;1904;7.97019548746285;132;0.552555569508979;23889
"Klinik Sonnenhof";12853;100;0;0;0;0;0;0;0;0;12853
