"Spitalname";"2019";"2020";"2021";"% Änd. Vorjahr"
"Psychiatrische Universitätsklinik Zürich";245888.836;246931.493;254730.429;3.15833995301686
"Integrierte Psychiatrie Winterthur - ZU";103842.033;96581.02;104339.818;8.03346040453912
"Clienia Privatklinik Schlössli";79870.88;83595.317;85403.699;2.16325754228552
"Sanatorium Kilchberg";60997.749;60095.378;61708.4;2.6841032599878
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";490599.498;487203.208;506182.346;3.89552812632548
"Modellstation SOMOSA";5823.076;5943.708;5836.922;-1.79662257970951
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";5823.076;5943.708;5836.922;-1.79662257970951
"Forel Klinik";21210.793;22617.531;21999.42;-2.7328845045023
"Suchtfachklinik Zürich";4867.97;6462.372;7879.652;21.9312661047677
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";26078.763;29079.903;29879.072;2.74818316966188
"Privatklinik Hohenegg";24340.685;23785.681;23563.026;-0.93608839704864
"Total Kanton Zürich";546842.022;546012.5;565461.366;3.56198182276048
"Clienia Privatklinik Littenheid";78155.294;79631.291;;1.88854385219255
"Klinik Meissenberg";17129.756;16877.717;;-1.47135195621001
"Klinik Sonnenhof";15955.293;15894.648;;-0.380093301953155
