"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Psychiatrische Universitätsklinik Zürich";2308;67.0277296360485;10.8318890814558;17.4610051993068
"Integrierte Psychiatrie Winterthur - ZU";879;69.1695108077361;17.1786120591581;22.9806598407281
"Clienia Privatklinik Schlössli";717;71.4086471408647;19.9442119944212;16.8758716875872
"Sanatorium Kilchberg";480;69.5833333333333;21.0416666666667;8.54166666666667
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4384;68.4534671532847;14.7125912408759;17.4954379562044
"Modellstation SOMOSA";53;45.2830188679245;13.2075471698113;13.2075471698113
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";53;45.2830188679245;13.2075471698113;13.2075471698113
"Forel Klinik";156;73.0769230769231;23.7179487179487;7.69230769230769
"Suchtfachklinik Zürich";57;61.4035087719298;14.0350877192982;5.26315789473684
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";213;69.9530516431925;21.1267605633803;7.04225352112676
"Privatklinik Hohenegg";245;72.2448979591837;22.4489795918367;0.408163265306122
"Total Kanton Zürich";4895;68.4576098059244;15.3626149131767;16.1389172625128
"Clienia Privatklinik Littenheid";661;76.2481089258699;25.4160363086233;11.8003025718608
"Klinik Meissenberg";173;76.878612716763;28.9017341040462;21.3872832369942
"Klinik Sonnenhof";129;74.4186046511628;17.0542635658915;21.7054263565891
