"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Psychiatrische Universitätsklinik Zürich";223.346;689.712;288.712;182.52;179.004;56.852;1620.146
"Integrierte Psychiatrie Winterthur - ZU";81.728;245.093;121.163;75.816;56.636;17.202;597.638
"Clienia Privatklinik Schlössli";62.65;189.505;79.464;39.79;82.418;10.076;463.903
"Sanatorium Kilchberg";53.09;116.29;59.677;49.168;62.498;5.23;345.953
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";420.814;1240.6;549.016;347.294;380.556;89.36;3027.64
"Modellstation SOMOSA";0.99;8.53;18.223;3.46;1.85;0.59;33.643
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";0.99;8.53;18.223;3.46;1.85;0.59;33.643
"Forel Klinik";12.28;21.9;39.732;18.32;27.808;3.67;123.71
"Suchtfachklinik Zürich";4.3;17.36;6.738;8.1;2.09;0.9;39.488
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";16.58;39.26;46.47;26.42;29.898;4.57;163.198
"Privatklinik Hohenegg";14.61;38.54;13.91;21.32;44.19;2.01;134.58
"Total Kanton Zürich";452.994;1326.93;627.619;398.494;456.494;96.53;3359.061
"Clienia Privatklinik Littenheid";59.762;197.325;89.14;44.51;74.516;12.3;477.553
"Klinik Meissenberg";14.26;48.44;18.876;8.98;25.26;4;119.816
"Klinik Sonnenhof";4.04;65.43;14.364;6.22;8.58;1.8;100.434
