"Spitalname";"Region Zürich";"Region Winterthur-Unterland";"Region Oberland";"Region Horgen";"Andere Kantone";"Ausland";"Total"
"Psychiatrische Universitätsklinik Zürich";2901;500;330;291;105;55;4182
"Psychiatrische Universitätsklinik Zürich - Forensik";18;13;8;4;11;0;54
"Integrierte Psychiatrie Winterthur - ZU";250;2680;193;74;104;20;3321
"Clienia Privatklinik Schlössli";304;253;1928;110;139;15;2749
"Sanatorium Kilchberg";479;242;222;839;191;22;1995
"Zentrum für Psychiatrie und Psychotherapie Affoltern";86;45;55;141;65;5;397
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";4038;3733;2736;1459;615;117;12698
"Psychiatrische Universitätsklinik Zürich - KJPP";159;71;97;61;2;0;390
"Modellstation SOMOSA";9;5;5;2;14;1;36
"Kispi Zürich - Psychosomatik und Psychiatrie";15;9;11;9;8;0;52
"KSW - Sozialpädiatrisches Zentrum";2;21;3;0;2;0;28
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";185;106;116;72;26;1;506
"Forel Klinik";152;157;59;59;161;1;589
"Suchtfachklinik Zürich";60;53;36;22;13;0;184
"USZ - Zentrum für Essstörungen";7;4;3;6;25;0;45
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";219;214;98;87;199;1;818
"Privatklinik Hohenegg";89;63;68;55;211;10;496
"Total Kanton Zürich";4531;4116;3018;1673;1051;129;14518
"Clienia Privatklinik Littenheid";0;0;0;0;0;2121;2121
"Spitäler Schaffhausen";0;0;0;0;0;743;743
"Klinik Meissenberg";0;0;0;0;0;479;479
"Klinik Sonnenhof";0;0;0;0;0;232;232
