"Spitalname";"ambulant in %";"stationär in %";"Langzeitpflege in %";"übrige Aufträge in %"
"Psychiatrische Universitätsklinik Zürich";24.8808121198447;57.6761833492807;0;17.4430045308746
"Integrierte Psychiatrie Winterthur - ZU";23.9981259371075;67.5618610146434;0.0188227890754184;8.42119025917369
"Clienia Privatklinik Schlössli";13.5522746603209;79.3220776577853;0;7.12564768189379
"Sanatorium Kilchberg";15.2373984643307;81.3331869964939;0.102146601830771;3.32726793734461
"Zentrum für Psychiatrie und Psychotherapie Affoltern";10.5811433582607;89.4188566417393;0;0
"Allgemeinpsychiatrien mit Zürcher Leistungsauftrag";21.5944592491673;66.1849138948605;0.0154078740320507;12.2052189819402
"Modellstation SOMOSA";1.52279192298306;41.0595845747152;0;57.4176235023017
"Kispi Zürich - Psychosomatik und Psychiatrie";8.25632587072177;91.7436741292782;0;0
"KSW - Sozialpädiatrisches Zentrum";73.0914298925091;26.9085701074909;0;0
"Kinder- und Jugendpsychiatrien mit Zürcher Leistungsauftrag";33.5072890827635;47.1028080904542;0;19.3899028267823
"Forel Klinik";17.9874476486739;78.7512051674194;0;3.26134718390669
"Suchtfachklinik Zürich";19.032103157195;78.9110217866404;0;2.05687505616462
"USZ - Zentrum für Essstörungen";62.58394656196;37.41605343804;0;0
"Spezialisierte Angebote mit Zürcher Leistungsauftrag";29.0127885954445;68.7156725461061;0;2.27153885844946
"Privatklinik Hohenegg";5.15230981725894;91.1471179001789;0;3.70057228256219
"Total Kanton Zürich";21.7672911794111;66.7420750923345;0.0133700495655941;11.4772636786887
"Clienia Privatklinik Littenheid";14.8427662179098;82.0595926364258;0;3.0976411456644
"Spitäler Schaffhausen";29.16196326626;68.8561317492643;0;1.98190498447568
"Klinik Meissenberg";4.56289990520765;94.7989343702408;0;0.638165724551566
"Klinik Sonnenhof";0.203784360713239;84.1919168964042;0;15.6042987428826
