"Leistungsbereich";"Anzahl Austritte";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %";"MAHD Tage"
"Basispaket";78540;56.8293481028775;27.0460911637382;75.1451489686784;4.81781257957729
"Dermatologie";784;56.7997448979592;33.1632653061224;38.0102040816327;7.34183673469388
"Hals-Nasen-Ohren";7354;41.6926842534675;25.1019853141148;12.2926298613;3.10320913788414
"Neurochirurgie";1335;57.1453183520599;28.0149812734082;31.6104868913858;10.0614232209738
"Neurologie";4674;64.7317073170732;27.6208814719726;79.4608472400514;5.74925117672229
"Ophthalmologie";3123;68.4819084213897;37.8802433557477;14.6013448607109;1.99647774575728
"Endokrinologie";1099;62.8289353958144;24.5677888989991;78.7989080982712;8.46405823475887
"Gastroenterologie";6240;67.3116987179487;26.6185897435897;72.8044871794872;7.4301282051282
"Viszeralchirugie";4211;57.7200189978627;27.9743528853004;24.9346948468297;10.5300403704583
"Hämatologie";2340;62.6952991452991;32.991452991453;49.9145299145299;8.32521367521367
"Gefässe";3141;69.986946832219;34.2884431709647;29.512893982808;7.17223814071952
"Herz";9018;67.8445331559104;35.395874916833;33.2667997338656;5.57396318474163
"Nephrologie";810;68.0691358024691;26.7901234567901;72.3456790123457;12.0864197530864
"Urologie";11443;62.1053919426724;31.2068513501704;19.3305951236564;4.00751551166652
"Pneumologie";3675;64.7025850340136;22.2585034013605;72.9251700680272;9.10394557823129
"Thoraxchirurgie";568;61.0968309859155;32.3943661971831;13.7323943661972;8.72007042253521
"Transplantationen";84;49.9880952380952;0;77.3809523809524;26.8333333333333
"Bewegungsapparat chirurgisch";28031;57.0904355891691;39.8808462059862;12.7644393706967;5.42003496129285
"Rheumatologie";865;58.9202312138728;25.0867052023121;65.8959537572254;6.02774566473988
"Gynäkologie";6899;49.7285113784606;31.62777214089;12.5670387012611;2.97477895347152
"Geburtshilfe";18554;32.41198663361;21.5964212568718;61.0272717473321;4.18599762854371
"Neugeborene";16904;0;0.976100331282537;1.81613819214387;4.2109559867487
"(Radio-)Onkologie";1616;62.1683168316832;29.0841584158416;29.0841584158416;7.91336633663366
"Schwere Verletzungen";492;56.6341463414634;28.4552845528455;83.9430894308943;11.6808943089431
"Total";211800;51.3893201133144;27.1463644948064;46.985835694051;5.1329178470255
