"Spitalname";"Akutsomatik";"Rehabilitation";"Psychiatrie";"Total"
"Universitätsspital Zürich";38650;0;44;38694
"Kantonsspital Winterthur";26797;0;25;26822
"Stadtspital Triemli";23959;0;0;23959
"Klinik Hirslanden";18435;0;0;18435
"See-Spital Standort Horgen";6383;0;0;6383
"See-Spital Standort Kilchberg";2338;0;0;2338
"Spital Uster";9628;0;0;9628
"Spital Limmattal";11338;0;0;11338
"Spital Bülach";10058;0;0;10058
"Spital Zollikerberg";10821;0;0;10821
"GZO AG Spital Wetzikon";9879;0;0;9879
"Stadtspital Waid";8134;0;0;8134
"Schulthess Klinik";7671;0;0;7671
"Kinderspital Zürich";7487;193;52;7732
"Spital Männedorf";7812;0;0;7812
"Universitätsklinik Balgrist";5415;319;0;5734
"Spital Affoltern";2642;0;422;3064
"Paracelsus-Spital Richterswil";1483;0;0;1483
"Limmatklinik";1528;0;0;1528
"Klinik Lengg";877;518;0;1395
"Uroviva Klinik für Urologie";1401;0;0;1401
"Adus Medica";737;0;0;737
"Klinik Susenberg";176;265;0;441
"Sune-Egge";144;0;0;144
"Spitäler mit Zürcher Leistungsauftrag";213793;1295;543;215631
"Geburtshaus Zürcher Oberland";790;0;0;790
"Geburtshaus Delphys";536;0;0;536
"Geburtshäuser mit Zürcher Leistungsauftrag";1326;0;0;1326
"Klinik Im Park";6191;0;0;6191
"Privatklinik Bethanien";4116;0;0;4116
"Klinik Lindberg";1213;0;0;1213
"Klinik Pyramide am See";1444;0;0;1444
"Klinik Tiefenbrunnen";80;0;0;80
"Spitäler ohne Zürcher Leistungsauftrag";13044;0;0;13044
"Total Kanton Zürich";228163;1295;543;230001
"Spitäler Schaffhausen";9444;665;776;10885
