"Spitalname";"0-19";"0-19 in %";"20-39";"20-39 in %";"40-64";"40-64 in %";"65-79";"65-79 in %";"80+";"80+ in %";"Total"
"Universitätsspital Zürich";3616;9.35575679172057;8346;21.5937904269081;12714;32.895213454075;9798;25.3505821474774;4176;10.8046571798189;38650
"Kantonsspital Winterthur";4482;16.7257528827854;4365;16.2891368436765;6588;24.5848415867448;6844;25.540172407359;4518;16.8600962794343;26797
"Stadtspital Triemli";3594;15.0006260695355;4432;18.4982678742852;6247;26.0737092533077;5841;24.3791477106724;3845;16.0482490921992;23959
"Klinik Hirslanden";1043;5.65771630051532;2373;12.8722538649308;5839;31.6734472470844;6398;34.7057228098725;2782;15.090859777597;18435
"See-Spital Standort Horgen";863;13.5202882657058;1417;22.1995926680244;1424;22.3092589691368;1232;19.30126899577;1447;22.669591101363;6383
"See-Spital Standort Kilchberg";74;3.16509837467921;372;15.9110350727117;1030;44.054747647562;688;29.4268605645851;174;7.44225834046193;2338
"Spital Uster";1109;11.5184877440798;1852;19.2355629414209;2459;25.5400914000831;2336;24.262567511425;1872;19.4432904029913;9628
"Spital Limmattal";1381;12.180278708767;2604;22.9670135826424;3031;26.7331098959252;2397;21.1412947609808;1925;16.9783030516846;11338
"Spital Bülach";1686;16.7627758997813;2328;23.1457546231855;2215;22.0222708291907;2029;20.1729966196063;1800;17.8962020282362;10058
"Spital Zollikerberg";2494;23.0477774697348;2919;26.9753257554755;2006;18.5380279086961;1585;14.6474447832917;1817;16.791424082802;10821
"GZO AG Spital Wetzikon";1087;11.0031379694301;2016;20.4069237777103;2751;27.8469480716672;2414;24.4356716266829;1611;16.3073185545096;9879
"Stadtspital Waid";102;1.25399557413327;917;11.2736660929432;2046;25.1536759282026;2075;25.5102040816327;2994;36.8084583230883;8134
"Schulthess Klinik";598;7.79559379481163;1084;14.1311432668492;3007;39.1995828444792;2396;31.2345196193456;586;7.6391604745144;7671
"Kinderspital Zürich";7486;99.9866435154267;1;0.0133564845732603;0;0;0;0;0;0;7487
"Spital Männedorf";770;9.85663082437276;1310;16.7690732206861;2167;27.7393753200205;1933;24.7439836149514;1632;20.8909370199693;7812
"Universitätsklinik Balgrist";323;5.96491228070175;1155;21.3296398891967;2260;41.735918744229;1271;23.471837488458;406;7.49769159741459;5415
"Spital Affoltern";86;3.2551097653293;282;10.6737320211961;735;27.8198334595004;739;27.9712339137017;800;30.2800908402725;2642
"Paracelsus-Spital Richterswil";383;25.826028320971;506;34.1200269723533;296;19.9595414699933;163;10.9912339851652;135;9.10316925151719;1483
"Limmatklinik";327;21.4005235602094;542;35.4712041884817;490;32.0680628272251;122;7.98429319371728;47;3.07591623036649;1528
"Klinik Lengg";229;26.1117445838084;303;34.5496009122007;284;32.3831242873432;49;5.58722919042189;12;1.36830102622577;877
"Uroviva Klinik für Urologie";12;0.856531049250535;128;9.13633119200571;549;39.186295503212;535;38.1870092790864;177;12.6338329764454;1401
"Adus Medica";33;4.47761194029851;181;24.5590230664858;367;49.7964721845319;146;19.8100407055631;10;1.35685210312076;737
"Klinik Susenberg";0;0;1;0.568181818181818;12;6.81818181818182;49;27.8409090909091;114;64.7727272727273;176
"Sune-Egge";3;2.08333333333333;28;19.4444444444444;104;72.2222222222222;9;6.25;0;0;144
"Spitäler mit Zürcher Leistungsauftrag";31781;14.8653136445066;39462;18.4580411893748;58621;27.4195132675064;51049;23.8777696182756;32880;15.3793622803366;213793
"Geburtshaus Zürcher Oberland";384;48.6075949367089;391;49.4936708860759;15;1.89873417721519;0;0;0;0;790
"Geburtshaus Delphys";247;46.0820895522388;277;51.6791044776119;12;2.23880597014925;0;0;0;0;536
"Geburtshäuser mit Zürcher Leistungsauftrag";631;47.5867269984917;668;50.3770739064857;27;2.03619909502262;0;0;0;0;1326
"Klinik Im Park";545;8.80310127604587;788;12.7281537716039;1570;25.3593926667744;2182;35.2447100629947;1106;17.8646422225812;6191
"Privatklinik Bethanien";533;12.9494655004859;764;18.5617103984451;1236;30.0291545189504;1214;29.4946550048591;369;8.96501457725948;4116
"Klinik Lindberg";13;1.0717230008244;107;8.82110469909316;505;41.6323165704864;430;35.4492992580379;158;13.0255564715581;1213
"Klinik Pyramide am See";54;3.73961218836565;248;17.1745152354571;682;47.2299168975069;359;24.8614958448753;101;6.99445983379501;1444
"Klinik Tiefenbrunnen";1;1.25;21;26.25;45;56.25;11;13.75;2;2.5;80
"Spitäler ohne Zürcher Leistungsauftrag";1146;8.78564857405704;1928;14.7807421036492;4038;30.9567617295308;4196;32.1680466114689;1736;13.3088009812941;13044
"Total Kanton Zürich";33558;14.707906189873;42058;18.4333130262137;62686;27.4742179932767;55245;24.2129530204284;34616;15.1716097702081;228163
"Spitäler Schaffhausen";1219;12.9076662431173;1887;19.9809402795426;2292;24.2693773824651;2202;23.3163913595934;1844;19.5256247352817;9444
