"Spitalname";"Total absolut";"davon Frauen in %";"davon Diplom Ausland in %";"davon in Ausbildung in %"
"Universitätsspital Zürich";9324;69.2406692406692;24.024024024024;18.4470184470184
"Kantonsspital Winterthur";3770;76.790450928382;14.1909814323607;16.8435013262599
"Stadtspital Triemli";3233;74.3891122796165;17.5688215279926;17.3213733374575
"Klinik Hirslanden";1866;74.3837084673097;25.1875669882101;14.6838156484459
"See-Spital";908;77.863436123348;18.8325991189427;16.9603524229075
"Spital Uster";1237;79.7898140662894;11.802748585287;18.1891673403395
"Spital Limmattal";1312;75.3048780487805;15.3963414634146;17.8353658536585
"Spital Bülach";1179;78.4563189143342;16.8787107718405;17.8117048346056
"Spital Zollikerberg";1175;79.2340425531915;7.06382978723404;14.9787234042553
"GZO AG Spital Wetzikon";893;79.2833146696529;13.9977603583427;11.7581187010078
"Stadtspital Waid";1017;74.6312684365782;24.0904621435595;17.3058013765978
"Schulthess Klinik";1090;70;18.8990825688073;12.2935779816514
"Kinderspital Zürich";2515;83.9363817097416;15.6660039761431;14.5924453280318
"Spital Männedorf";991;77.598385469223;6.86175580221998;15.8425832492432
"Universitätsklinik Balgrist";1177;69.6686491079014;20.2209005947324;12.6593033135089
"Spital Affoltern";575;79.4782608695652;15.6521739130435;12.3478260869565
"Paracelsus-Spital Richterswil";145;85.5172413793103;;
"Limmatklinik";53;86.7924528301887;24.5283018867925;3.77358490566038
"Klinik Lengg";307;79.4788273615635;29.6416938110749;15.6351791530945
"Uroviva Klinik für Urologie";75;73.3333333333333;14.6666666666667;0
"Adus Medica";41;87.8048780487805;29.2682926829268;4.8780487804878
"Klinik Susenberg";104;79.8076923076923;24.0384615384615;13.4615384615385
"Sune-Egge";61;55.7377049180328;31.1475409836066;11.4754098360656
"Spitäler mit Zürcher Leistungsauftrag";33048;74.7125393367223;18.6123214717986;16.40038731542
"Geburtshaus Zürcher Oberland";46;97.8260869565217;10.8695652173913;6.52173913043478
"Geburtshaus Delphys";24;95.8333333333333;12.5;0
"Geburtshäuser mit Zürcher Leistungsauftrag";70;97.1428571428571;11.4285714285714;4.28571428571429
"Klinik Im Park";590;68.9830508474576;34.9152542372881;7.45762711864407
"Privatklinik Bethanien";287;72.8222996515679;22.6480836236934;8.01393728222996
"Klinik Lindberg";149;78.5234899328859;24.1610738255034;6.71140939597315
"Klinik Pyramide am See";131;64.8854961832061;22.1374045801527;2.29007633587786
"Klinik Tiefenbrunnen";22;95.4545454545455;18.1818181818182;0
"Spitäler ohne Zürcher Leistungsauftrag";1179;71.1620016963528;28.8379983036472;6.78541136556404
"Total Kanton Zürich";34297;74.6362655625856;18.949179228504;16.0451351430154
"Spitäler Schaffhausen";1384;77.6011560693642;22.6878612716763;16.3294797687861
