"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Paracelsus-Spital Richterswil";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag"
"Basispaket";"BP";9485;10393;8246;3467;3347;336;4536;4848;4581;3215;4667;5260;396;3894;3720;699;2086;353;144;9;223;104;155;116;74280;1103;545;333;371;62;2414
"Dermatologie";"DER1";239;37;24;10;7;1;11;8;6;14;7;6;0;49;8;2;3;0;0;0;0;0;0;3;435;3;1;2;3;0;9
"";"DER1.1";338;14;9;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;364;11;2;0;3;0;16
"";"DER1.2";13;3;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;21;0;0;0;0;0;0
"";"DER2";34;15;11;3;4;1;3;13;7;6;3;6;0;6;2;3;2;0;0;0;0;0;0;6;125;4;1;2;1;0;8
"Hals-Nasen-Ohren";"HNO1";659;140;15;52;40;34;60;73;83;8;62;40;0;208;44;0;21;2;182;0;0;25;0;0;1748;11;21;6;31;0;69
"";"HNO1.1";606;174;7;53;12;0;2;26;29;1;14;50;0;169;9;0;0;2;145;0;0;4;0;0;1303;13;43;3;31;0;90
"";"HNO1.1.1";62;8;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;74;0;3;0;0;0;3
"";"HNO1.2";439;88;2;246;107;50;141;62;76;15;90;55;0;5;76;0;26;5;600;0;0;54;0;0;2137;21;9;33;96;4;163
"";"HNO1.2.1";4;0;0;61;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;65;0;0;0;0;0;0
"";"HNO1.3";398;2;0;5;0;0;0;0;0;10;0;0;0;4;2;0;0;0;0;0;0;0;0;0;421;0;18;0;3;0;21
"";"HNO1.3.1";3;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0
"";"HNO1.3.2";62;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;69;0;2;0;0;0;2
"";"HNO2";154;194;168;214;0;20;15;48;68;51;30;2;0;0;11;0;0;0;0;0;0;0;0;0;975;7;40;0;22;0;69
"";"KIE1";336;94;3;2;1;0;2;1;1;0;1;1;0;21;1;0;1;1;64;0;0;0;1;2;533;8;3;1;16;0;28
"Neurochirurgie";"NCH1";701;152;0;278;1;0;0;0;0;0;1;0;1;135;0;0;0;1;37;0;0;0;0;0;1307;4;4;0;1;0;9
"";"NCH1.1";82;17;5;38;0;0;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;0;0;154;0;0;0;0;0;0
"";"NCH1.1.1";235;1;0;105;0;0;0;0;0;0;0;0;0;4;0;1;0;0;0;0;0;0;0;0;346;0;0;0;0;0;0
"";"NCH1.1.1.1";44;0;0;17;0;0;0;0;0;0;0;0;0;32;0;0;0;0;0;0;0;0;0;0;93;0;0;0;0;0;0
"";"NCH1.1.2";59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;59;0;0;0;0;0;0
"";"NCH1.1.3";15;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0
"";"NCH2";6;1;0;1;0;0;0;0;0;0;0;0;5;1;0;2;0;0;0;0;0;0;0;0;16;2;0;0;0;0;2
"";"NCH2.1";4;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0
"";"NCH3";8;2;0;5;0;0;2;0;0;0;0;0;0;1;0;4;0;0;0;0;0;0;0;0;22;0;3;0;25;0;28
"Neurologie";"NEU1";190;106;69;85;21;0;55;50;24;29;71;28;0;107;27;0;8;0;0;57;0;0;1;0;928;1;0;1;0;0;2
"";"NEU2";39;19;22;11;3;0;8;9;6;4;14;12;0;1;11;1;1;0;0;0;0;0;0;0;161;0;0;1;0;0;1
"";"NEU2.1";63;15;5;22;5;0;3;3;7;3;8;3;0;53;1;0;8;1;0;0;0;0;2;0;202;0;0;0;0;0;0
"";"NEU3";816;479;464;454;86;0;136;217;105;54;150;132;0;42;93;0;36;5;0;0;0;0;1;0;3270;20;0;1;0;0;21
"";"NEU3.1";114;0;0;51;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;165;0;0;0;0;0;0
"";"NEU4";44;0;0;30;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;329;0;0;0;0;410;0;0;0;0;0;0
"";"NEU4.1";44;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;83;0;0;0;0;129;0;0;0;0;0;0
"";"NEU4.2";71;0;0;0;0;0;0;0;0;0;0;0;0;134;0;0;0;0;0;392;0;0;0;0;597;0;0;0;0;0;0
"Ophthalmologie";"AUG1";152;100;40;2;0;0;1;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;299;15;0;0;5;1;21
"";"AUG1.1";55;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;0;0;0;0;0;77;0;0;0;0;0;0
