"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Total"
"Universitätsspital Zürich";15398;1712;3577;2944;1458;1463;4407;1558;32517
"Kantonsspital Winterthur";281;20169;2152;114;31;63;1080;735;24625
"Stadtspital Triemli";15167;228;886;3416;1231;143;474;191;21736
"Klinik Hirslanden";5606;675;1198;1136;645;2005;2045;658;13968
"See-Spital Standort Horgen";1507;30;62;125;4659;43;60;31;6517
"See-Spital Standort Kilchberg";1135;36;96;200;578;38;117;33;2233
"Spital Uster";184;671;278;51;12;114;7962;784;10056
"Spital Limmattal";736;56;250;8469;49;13;91;22;9686
"Spital Bülach";238;256;8786;477;8;7;208;18;9998
"Spital Zollikerberg";4948;241;493;310;120;1193;2488;407;10200
"GZO AG Spital Wetzikon";120;339;71;27;19;159;1384;7811;9930
"Stadtspital Waid";6605;85;553;694;46;34;300;26;8343
"Schulthess Klinik";1509;326;575;551;256;424;712;331;4684
"Kinderspital Zürich";2340;379;873;613;307;410;794;346;6062
"Spital Männedorf";340;52;102;49;72;4776;325;807;6523
"Universitätsklinik Balgrist";1351;195;393;440;160;212;533;309;3593
"Spital Affoltern";238;2;13;2608;21;1;6;6;2895
"Paracelsus-Spital Richterswil";393;52;31;90;579;39;44;42;1270
"Limmatklinik";428;224;185;139;35;41;136;33;1221
"Klinik Lengg";147;55;48;38;15;22;53;36;414
"Uroviva Klinik für Urologie";182;23;841;91;12;8;64;9;1230
"Adus Medica";165;41;298;111;10;2;40;5;672
"Klinik Susenberg";129;3;14;3;7;23;25;1;205
"Sune-Egge";80;9;2;8;2;1;12;2;116
"Spitäler mit Zürcher Leistungsauftrag";59227;25859;21777;22704;10332;11234;23360;14201;188694
"Geburtshaus Zürcher Oberland";37;213;14;9;8;65;112;192;650
"Geburtshaus Delphys";409;25;19;24;6;7;12;0;502
"Geburtshäuser mit Zürcher Leistungsauftrag";446;238;33;33;14;72;124;192;1152
"Klinik Im Park";2202;108;249;409;857;184;232;54;4295
"Privatklinik Bethanien";1541;174;477;294;151;232;528;94;3491
"Klinik Lindberg";17;984;65;6;4;6;48;12;1142
"Klinik Pyramide am See";412;61;107;90;70;187;108;43;1078
"Klinik Tiefenbrunnen";16;7;4;0;1;10;4;12;54
"Spitäler ohne Zürcher Leistungsauftrag";4188;1334;902;799;1083;619;920;215;10060
"Total Kanton Zürich";63861;27431;22712;23536;11429;11925;24404;14608;199906
"Spitäler Schaffhausen";47;826;47;8;6;3;10;13;960
"Ausserkantonale Nicht-Listenspitäler";2235;2324;935;2298;828;544;774;777;10715
"Total Zürcher PatientInnen";66143;30581;23694;25842;12263;12472;25188;15398;211581
