"Spitalname";"2018";"2019";"2020";"% Änd. Vorjahr"
"Universitätsspital Zürich";1448567.413;1471837.357;1449165.061;-1.54040770144687
"Kantonsspital Winterthur";513331.271;535538.22;527509.157;-1.4992511645574
"Stadtspital Triemli";448442.113;459276.384;459096.465;-0.0391744505635172
"Klinik Hirslanden";405155.508;398981.642;409752.21;2.69951468092859
"See-Spital";142984.239;142165.147;134964.537;-5.06496152675169
"Spital Uster";149996.844;149463.768;154664.879;3.47984737009976
"Spital Limmattal";174191.293;186232.444;193543.748;3.925902406135
"Spital Bülach";141624.051;148262.892;144567.194;-2.49266552820243
"Spital Zollikerberg";155747.962;159755.077;162681.794;1.83200249717259
"GZO AG Spital Wetzikon";144053.951;151488.324;150163.506;-0.874534726517928
"Stadtspital Waid";145766.149;151126.287;146350.374;-3.16021328572703
"Schulthess Klinik";197507.548;205024.758;191878.058;-6.41224997812216
"Kinderspital Zürich";299203.297;307450.43;297362.049;-3.28130326570042
"Spital Männedorf";127612.083;130250.145;135861.185;4.30789539620089
"Universitätsklinik Balgrist";176954.828;183106.779;183762.063;0.357869874386263
"Spital Affoltern";70318.103;73571.286;60550.407;-17.698316432854
"Paracelsus-Spital Richterswil";37679.03;33523.938;;
"Limmatklinik";21647.135;18723.561;18328.618;-2.10933700058447
"Klinik Lengg";38749.945;38206.651;39541.377;3.49343887795872
"Uroviva Klinik für Urologie";15243.39;18653.931;19343.197;3.69501742018881
"Adus Medica";8564.046;8242.247;8826.561;7.08925612154063
"Klinik Susenberg";11052.521;10458.249;9901.004;-5.32828200973221
"Sune-Egge";11061.426;10229.385;9504.071;-7.0904946876083
"Spitäler mit Zürcher Leistungsauftrag";4885454.146;4991568.902;4907317.515;-1.68787386599517
"Geburtshaus Zürcher Oberland";3717.064;3601.678;3300.442;-8.36376822136794
"Geburtshaus Delphys";2217.113;2302.332;2338.228;1.55911484529601
"Geburtshäuser mit Zürcher Leistungsauftrag";5934.177;5904.01;5638.67;-4.49423358022768
"Klinik Im Park";150969.755;134525.739;138992.172;3.32013266249369
"Privatklinik Bethanien";61344.182;76023.38;74382.243;-2.1587266969714
"Klinik Lindberg";22695.255;24665.012;22257.235;-9.76191294778206
"Klinik Pyramide am See";18509.997;16859.909;17126.094;1.57880448820928
"Klinik Tiefenbrunnen";1299.637;1435.597;1634.292;13.8405833949221
"Spitäler ohne Zürcher Leistungsauftrag";254818.826;253509.637;254392.036;0.348073158260265
"Total Kanton Zürich";5146207.149;5250982.549;5167348.221;-1.59273673487883
"Spitäler Schaffhausen";198471.822;203644.932;;2.6064707563374
