"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Universitätsspital Zürich";235;403;60;1448;47;49;233;470;29;151;67;122;574;58;20;1110;443;1868;968;311;40;44;25;34;5;8814;29210;626;38650
"Kantonsspital Winterthur";20;23;6;28;3;5;10;21;1;10;9;9;1126;15;7;224;46;98;1142;31;2;7;2;5;2;2852;23777;168;26797
"Stadtspital Triemli";41;33;21;594;6;4;72;381;5;17;13;6;321;5;0;135;52;761;118;33;9;4;0;3;2;2636;21189;134;23959
"Klinik Hirslanden";84;220;20;614;25;35;86;264;10;89;27;55;197;34;7;662;247;984;234;245;31;45;5;6;2;4228;13778;429;18435
"See-Spital Standort Horgen";13;24;6;287;0;0;17;38;1;7;0;5;2;0;0;70;15;52;12;8;1;3;0;1;0;562;5792;29;6383
"See-Spital Standort Kilchberg";8;17;6;107;1;2;4;27;0;2;3;3;5;0;0;40;10;94;17;3;0;1;0;0;1;351;1980;7;2338
"Spital Uster";3;2;2;19;1;2;1;2;1;4;1;4;13;0;0;52;13;33;29;3;1;4;0;1;0;191;9397;40;9628
"Spital Limmattal";11;26;1;24;2;0;6;14;3;10;4;7;4;0;0;24;5;1494;14;4;5;1;1;2;0;1662;9638;38;11338
"Spital Bülach";11;4;0;14;0;2;2;5;1;3;4;2;91;1;1;7;10;132;24;1;1;2;0;3;0;321;9624;113;10058
"Spital Zollikerberg";13;7;1;66;4;5;13;21;2;9;3;8;16;1;0;107;27;103;22;26;0;4;0;4;0;462;10306;53;10821
"GZO AG Spital Wetzikon";4;3;0;68;0;0;7;3;0;5;1;4;6;1;0;245;8;30;23;5;3;0;0;1;0;417;9425;37;9879
"Stadtspital Waid";19;5;2;30;4;0;1;16;2;8;7;4;13;1;0;18;6;83;24;8;1;5;2;3;0;262;7834;38;8134
"Schulthess Klinik";74;147;30;274;15;16;58;136;12;77;17;20;113;10;3;294;157;814;238;239;34;42;2;10;1;2833;4610;228;7671
"Kinderspital Zürich";61;80;9;306;7;10;43;70;2;53;23;23;96;7;8;260;57;527;134;67;11;16;1;9;6;1886;5374;227;7487
"Spital Männedorf";7;13;0;85;2;2;9;14;2;3;3;4;7;1;1;1285;12;41;16;12;3;1;1;0;0;1524;6231;57;7812
"Universitätsklinik Balgrist";80;94;23;216;13;11;33;87;9;75;16;29;88;14;2;152;83;431;148;84;10;30;3;7;1;1739;3617;59;5415
"Spital Affoltern";4;10;2;16;1;0;3;165;2;1;5;3;1;1;0;4;4;143;1;3;1;0;0;0;0;370;2259;13;2642
"Paracelsus-Spital Richterswil";6;11;0;188;0;0;44;20;0;4;0;2;7;0;0;71;8;35;10;2;0;1;0;0;0;409;1069;5;1483
"Limmatklinik";20;16;6;25;0;1;5;7;3;10;1;4;9;2;0;26;16;101;19;19;4;6;1;3;0;304;1211;13;1528
"Klinik Lengg";31;49;6;19;3;3;10;25;5;14;17;23;18;5;0;61;33;90;37;2;2;3;0;0;0;456;413;8;877
"Uroviva Klinik für Urologie";1;12;0;16;0;0;1;4;1;0;0;1;19;0;0;6;4;29;8;11;1;0;1;0;0;115;1267;19;1401
"Adus Medica";2;4;0;6;0;0;0;15;0;2;0;0;3;0;0;6;3;147;3;3;2;1;0;0;0;197;536;4;737
"Klinik Susenberg";0;1;0;1;0;0;0;1;0;2;0;0;0;0;0;2;0;1;0;0;0;0;0;0;0;8;168;0;176
"Sune-Egge";0;0;0;1;0;0;1;0;0;0;0;0;3;0;0;0;1;5;1;0;0;2;0;0;0;14;128;2;144
"Spitäler mit Zürcher Leistungsauftrag";748;1204;201;4452;134;147;659;1806;91;556;221;338;2732;156;49;4861;1260;8096;3242;1120;162;222;44;92;20;32613;178833;2347;213793
"Geburtshaus Zürcher Oberland";0;0;0;24;0;0;6;0;0;0;0;0;6;0;0;56;0;7;26;0;0;0;0;0;0;125;665;0;790
"Geburtshaus Delphys";0;0;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;13;1;0;0;0;0;0;0;17;517;2;536
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;0;24;0;0;6;2;0;0;0;0;7;0;0;56;0;20;27;0;0;0;0;0;0;142;1182;2;1326
"Klinik Im Park";16;71;24;601;4;12;37;149;3;13;6;11;40;6;3;120;134;337;53;47;5;10;1;3;0;1706;4380;105;6191
"Privatklinik Bethanien";20;40;5;83;3;4;6;44;3;15;7;20;34;3;0;78;22;171;53;33;4;4;1;4;0;657;3437;22;4116
"Klinik Lindberg";2;2;21;7;0;1;2;1;0;0;0;0;44;3;0;14;4;6;92;2;1;0;0;0;0;202;1005;6;1213
"Klinik Pyramide am See";12;20;1;65;1;5;3;33;7;16;6;7;10;3;1;42;16;83;22;17;10;4;2;6;0;392;974;78;1444
"Klinik Tiefenbrunnen";0;4;0;1;0;0;0;9;0;0;0;0;1;0;0;0;1;9;1;0;0;0;0;0;0;26;49;5;80
"Spitäler ohne Zürcher Leistungsauftrag";50;137;51;757;8;22;48;236;13;44;19;38;129;15;4;254;177;606;221;99;20;18;4;13;0;2983;9845;216;13044
"Total Kanton Zürich";798;1341;252;5233;142;169;713;2044;104;600;240;376;2868;171;53;5171;1437;8722;3490;1219;182;240;48;105;20;35738;189860;2565;228163
"Spitäler Schaffhausen";8;4;1;8;0;0;2;3;0;6;2;2;7504;2;0;21;6;20;389;4;0;4;1;0;0;7987;960;497;9444
