"Spitalname";"Ärztinnen und Ärzte";"Pflegepersonal";"Medizinisches Personal";"Administrativpersonal";"Hausdienstpersonal";"Technische Dienste";"Total"
"Universitätsspital Zürich";1370.912;2217.065;1152.468;1267.946;709.638;205.1;6923.129
"Kantonsspital Winterthur";478.846;1151.796;348.534;434.138;207.46;52.502;2673.276
"Stadtspital Triemli";423.2;796.634;311.658;433.778;337.494;22;2324.764
"Klinik Hirslanden";92.578;610.703;189.459;201.472;204.944;20.696;1319.852
"See-Spital";89.348;238.16;85.269;96.506;101.744;13;624.027
"Spital Uster";138.23;400.098;79.516;129.006;99.43;14.21;860.49
"Spital Limmattal";170.852;305.67;117.407;145.126;157.886;13.216;910.157
"Spital Bülach";135.884;344.926;115.521;119.63;85.788;11.462;813.211
"Spital Zollikerberg";129.89;306.992;95.642;143.074;69.672;13.69;758.96
"GZO AG Spital Wetzikon";110.034;278.288;67.709;120.81;73.806;13.478;664.125
"Stadtspital Waid";134.156;344.307;103.11;87.024;95.034;12.434;776.065
"Schulthess Klinik";122.034;198.264;134.318;224.33;92.196;11.98;783.122
"Kinderspital Zürich";321.454;647.864;343.881;266.356;99.21;25.44;1704.205
"Spital Männedorf";95.348;290.39;80.213;117.532;93.434;11.38;688.297
"Universitätsklinik Balgrist";137.766;262.88;159.61;199.85;114.802;13.75;888.658
"Spital Affoltern";43.634;135.513;47.259;53.998;61.556;7.014;348.974
"Paracelsus-Spital Richterswil";16.51;38.59;27.02;18.52;9.74;3.56;113.94
"Limmatklinik";0;23.168;3.01;2.68;2.8;0.96;32.618
"Klinik Lengg";25.55;62.158;89.072;26.802;0;0;203.582
"Uroviva Klinik für Urologie";0.8;21.819;3.06;17.78;15.37;3;61.829
"Adus Medica";2.64;10.257;3.77;5.52;0.2;0;22.387
"Klinik Susenberg";5.712;38.111;9.97;6.86;14.47;2;77.123
"Sune-Egge";5.39;18.288;7.45;4.58;8.22;2.2;46.128
"Spitäler mit Zürcher Leistungsauftrag";4050.768;8741.941;3574.926;4123.318;2654.894;473.072;23618.919
"Geburtshaus Zürcher Oberland";0;0;16.706;2.566;4.792;0;24.064
"Geburtshaus Delphys";0;0;5.36;1.52;2.83;0;9.71
"Geburtshäuser mit Zürcher Leistungsauftrag";0;0;22.066;4.086;7.622;0;33.774
"Klinik Im Park";28.01;190.413;74.637;67.21;90.302;8.908;459.48
"Privatklinik Bethanien";0;91.236;41.67;29.63;43.998;5.384;211.918
"Klinik Lindberg";0;45.017;15.75;17.39;29.076;3.4;110.633
"Klinik Pyramide am See";1.61;23.24;7.78;22.41;24.32;4.36;83.72
"Klinik Tiefenbrunnen";0;1.35;2.28;1.62;0.62;0;5.87
"Spitäler ohne Zürcher Leistungsauftrag";29.62;351.256;142.117;138.26;188.316;22.052;871.621
"Total Kanton Zürich";4080.388;9093.197;3739.109;4265.664;2850.832;495.124;24524.314
"Spitäler Schaffhausen";144.258;420.437;165.943;138.66;65.736;20.4;955.434
