"Spitalname";"Zürich";"Winterthur";"Unterland";"Limmattal";"Linkes Seeufer";"Rechtes Seeufer";"Oberes Glattal";"Oberland";"Ausserkantonal/Ausland";"Total"
"Universitätsspital Zürich";13849;1544;3189;2687;1259;1353;3828;1466;9475;38650
"Kantonsspital Winterthur";249;19515;2041;98;24;65;1026;749;3030;26797
"Stadtspital Triemli";14333;250;1000;3591;1162;138;520;162;2803;23959
"Klinik Hirslanden";5520;630;1136;1062;623;1995;2132;681;4656;18435
"See-Spital Standort Horgen";1344;30;46;147;4122;27;51;25;591;6383
"See-Spital Standort Kilchberg";973;25;116;156;567;27;88;28;358;2338
"Spital Uster";199;558;241;43;11;80;7528;737;231;9628
"Spital Limmattal";770;43;250;8410;50;15;87;13;1700;11338
"Spital Bülach";231;249;8374;505;5;7;246;6;435;10058
"Spital Zollikerberg";4951;303;539;303;95;1119;2616;391;504;10821
"GZO AG Spital Wetzikon";115;350;47;26;10;153;1287;7439;452;9879
"Stadtspital Waid";6195;79;561;594;50;21;306;28;300;8134
"Schulthess Klinik";1449;341;560;553;253;400;637;417;3061;7671
"Kinderspital Zürich";2021;378;660;626;245;348;713;380;2116;7487
"Spital Männedorf";376;61;97;76;64;4450;300;807;1581;7812
"Universitätsklinik Balgrist";1265;211;446;442;171;221;572;289;1798;5415
"Spital Affoltern";215;4;20;1956;51;3;6;4;383;2642
"Paracelsus-Spital Richterswil";315;49;31;73;496;21;50;33;415;1483
"Limmatklinik";473;203;153;152;34;24;133;39;317;1528
"Klinik Lengg";142;66;46;45;16;28;44;26;464;877
"Uroviva Klinik für Urologie";155;26;829;112;28;24;86;7;134;1401
"Adus Medica";115;12;246;113;9;3;32;6;201;737
"Klinik Susenberg";111;0;15;5;4;19;12;2;8;176
"Sune-Egge";81;6;9;16;5;0;7;4;16;144
"Spitäler mit Zürcher Leistungsauftrag";55447;24933;20652;21791;9354;10541;22307;13739;35029;213793
"Geburtshaus Zürcher Oberland";52;244;28;5;8;32;109;187;125;790
"Geburtshaus Delphys";415;20;26;29;10;6;11;0;19;536
"Geburtshäuser mit Zürcher Leistungsauftrag";467;264;54;34;18;38;120;187;144;1326
"Klinik Im Park";2243;131;247;439;830;162;291;41;1807;6191
"Privatklinik Bethanien";1482;151;478;297;150;235;556;88;679;4116
"Klinik Lindberg";18;864;70;2;3;4;36;8;208;1213
"Klinik Pyramide am See";385;50;84;85;58;153;119;40;470;1444
"Klinik Tiefenbrunnen";20;2;3;4;2;8;6;4;31;80
"Spitäler ohne Zürcher Leistungsauftrag";4148;1198;882;827;1043;562;1008;181;3195;13044
"Total Kanton Zürich";60062;26395;21588;22652;10415;11141;23435;14107;38368;228163
"Spitäler Schaffhausen";47;826;47;8;6;3;10;13;8484;9444
