"Spitalname";"Austritte";"Anteil am Total Kt. ZH";"ø-Alter (Jahre)";"Liegeklasse HPP in %";"Notfalleintritte in %"
"Universitätsspital Zürich";38650;0.169396440264197;52.047787839586;19.4644243208279;44.1552393272963
"Kantonsspital Winterthur";26797;0.117446737639319;51.8844273612718;21.2113296264507;52.296898906594
"Stadtspital Triemli";23959;0.105008261637514;51.5440126883426;17.3796903042698;53.5289452815226
"Klinik Hirslanden";18435;0.0807975000328712;59.2392731217792;59.0127474911852;24.1822620016273
"See-Spital Standort Horgen";6383;0.0279756139251325;52.5981513394955;24.4242519191603;57.2144759517468
"See-Spital Standort Kilchberg";2338;0.010247060215723;56.374251497006;23.3960650128315;0.256629597946963
"Spital Uster";9628;0.0421979023768096;54.2836518487744;19.4640631491483;63.5749896136269
"Spital Limmattal";11338;0.0496925443652126;51.3785500088199;17.5604162991709;47.9449638384195
"Spital Bülach";10058;0.0440825199528407;49.2012328494731;16.4545635315172;64.3766156293498
"Spital Zollikerberg";10821;0.047426620442403;43.7173089363275;25.4043064411792;47.3800942611589
"GZO AG Spital Wetzikon";9879;0.0432979931014231;53.2371697540237;14.8901710699464;56.8782265411479
"Stadtspital Waid";8134;0.0356499520079943;67.7451438406688;19.6582247356774;66.5355298746004
"Schulthess Klinik";7671;0.0336207009900817;55.3481944987616;48.3900404119411;2.19006648416113
"Kinderspital Zürich";7487;0.0328142599808032;5.34713503405904;22.4255375985041;51.8498731133965
"Spital Männedorf";7812;0.034238680241757;56.4415002560164;28.5074244751664;49.7183819764465
"Universitätsklinik Balgrist";5415;0.0237330329632763;52.7466297322253;31.3758079409049;13.4072022160665
"Spital Affoltern";2642;0.0115794410136613;65.0442846328539;23.1642694928085;62.7933383800151
"Paracelsus-Spital Richterswil";1483;0.00649973922152146;37.1530681051922;12.6095751854349;45.3809844908968
"Limmatklinik";1528;0.0066969666422689;38.1433246073298;14.2015706806283;0.850785340314136
"Klinik Lengg";877;0.00384374328878916;34.7901938426454;13.1128848346636;5.58722919042189
"Uroviva Klinik für Urologie";1401;0.00614034703260388;62.6909350463954;28.836545324768;10.9207708779443
"Adus Medica";737;0.00323014686868598;49.3962008141113;17.6390773405699;0.135685210312076
"Klinik Susenberg";176;0.00077137835670113;80.8636363636364;63.0681818181818;0.568181818181818
"Sune-Egge";144;0.000631127746391834;47.3888888888889;0;12.5
"Spitäler mit Zürcher Leistungsauftrag";213793;0.937018710307982;51.4460576351892;24.6911732376645;45.5758607625133
"Geburtshaus Zürcher Oberland";790;0.00346243694201076;16.5810126582278;0.886075949367089;36.0759493670886
"Geburtshaus Delphys";536;0.00234919772268072;17.9514925373134;0;48.6940298507463
"Geburtshäuser mit Zürcher Leistungsauftrag";1326;0.00581163466469147;17.1349924585219;0.52790346907994;41.1764705882353
"Klinik Im Park";6191;0.0271341102632767;58.8268454207721;85.8019706024875;15.6840575028267
"Privatklinik Bethanien";4116;0.0180397347510333;51.0993683187561;85.131195335277;10.3498542274052
"Klinik Lindberg";1213;0.00531637469703677;62.0074196207749;89.4476504534213;14.1797197032152
"Klinik Pyramide am See";1444;0.006328808790207;54.5;98.7534626038781;1.86980609418283
"Klinik Tiefenbrunnen";80;0.000350626525773241;49.2;100;0
"Spitäler ohne Zürcher Leistungsauftrag";13044;0.057169655027327;56.1461974854339;87.4501686599203;12.2355105795768
"Total Kanton Zürich";228163;1;51.5153596332447;28.138655259617;43.6442367956242
"Spitäler Schaffhausen";9444;;53.4828462515883;17.6514188903007;58.8839474798814
