"Kanton";"2018";"2019";"% Änd. Vorjahr"
"ZH";198885;200125;0.623475878019963
"BE";762;712;-6.56167979002624
"LU";652;757;16.1042944785276
"UR";36;33;-8.33333333333334
"SZ";754;770;2.12201591511936
"OW";31;23;-25.8064516129032
"NW";35;37;5.71428571428572
"GL";107;62;-42.0560747663551
"ZG";938;1028;9.5948827292111
"FR";28;20;-28.5714285714286
"SO";104;81;-22.1153846153846
"BS";369;321;-13.0081300813008
"BL";228;239;4.82456140350878
"SH";1181;1180;-0.0846740050804429
"AR";206;175;-15.0485436893204
"AI";11;17;54.5454545454545
"SG";1442;1450;0.554785020804438
"GR";1565;1535;-1.91693290734825
"AG";1365;1455;6.59340659340659
"TG";1233;1126;-8.67802108678021
"TI";292;271;-7.1917808219178
"VD";126;119;-5.55555555555556
"VS";182;180;-1.09890109890109
"NE";6;11;83.3333333333333
"GE";53;58;9.43396226415094
"JU";12;15;25
"Total ohne Zürich";11718;11675;-0.366956818569719
"Total Zürcher PatientInnen";210603;211800;0.568367971966222
