"Leistungsbereich";"SPLG";"Universitätsspital Zürich";"Kantonsspital Winterthur";"Stadtspital Triemli";"Klinik Hirslanden";"See-Spital Standort Horgen";"See-Spital Standort Kilchberg";"Spital Uster";"Spital Limmattal";"Spital Bülach";"Spital Zollikerberg";"GZO AG Spital Wetzikon";"Stadtspital Waid";"Schulthess Klinik";"Kinderspital Zürich";"Spital Männedorf";"Universitätsklinik Balgrist";"Spital Affoltern";"Limmatklinik";"Klinik Lengg";"Uroviva Klinik für Urologie";"Adus Medica";"Klinik Susenberg";"Sune-Egge";"Spitäler mit Zürcher Leistungsauftrag";"Klinik Im Park";"Privatklinik Bethanien";"Klinik Lindberg";"Klinik Pyramide am See";"Klinik Tiefenbrunnen";"Spitäler ohne Zürcher Leistungsauftrag";"Spitäler Schaffhausen";"Ausserkantonale Nicht-Listenspitäler"
"Basispaket";"BP";284;8274;59;85;7;7;218;23;106;52;117;33;14;156;29;34;1;5;2;4;0;4;4;9518;17;21;338;12;1;389;364;768
"Dermatologie";"DER1";19;30;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;51;0;0;0;0;0;0;1;1
"";"DER1.1";14;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;1;0;0;0;0;1;0;
"";"DER1.2";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"DER2";0;13;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;14;0;0;0;0;0;0;0;
"Hals-Nasen-Ohren";"HNO1";35;118;0;3;1;0;2;0;14;0;2;0;0;9;0;0;0;23;0;0;1;0;0;208;0;1;0;0;0;1;8;119
"";"HNO1.1";55;66;0;8;0;0;0;0;2;1;0;0;0;13;0;0;0;12;0;0;0;0;0;157;0;4;4;0;0;8;1;19
"";"HNO1.1.1";8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"HNO1.2";29;91;0;7;5;2;9;0;22;0;2;0;0;1;2;0;0;112;0;0;0;0;0;282;0;0;24;0;0;24;6;100
"";"HNO1.2.1";1;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;
"";"HNO1.3";50;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;0;3;0;0;0;3;0;1
"";"HNO1.3.1";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"HNO1.3.2";7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0;0;0;0;0;0;0;
"";"HNO2";9;93;3;7;0;0;0;0;9;2;1;0;0;0;1;0;0;0;0;0;0;0;0;125;0;0;2;4;0;6;2;7
"";"KIE1";8;22;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;8;0;0;0;0;0;41;0;0;0;0;0;0;0;
"Neurochirurgie";"NCH1";28;60;0;7;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;5
"";"NCH1.1";1;5;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;
"";"NCH1.1.1";25;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27;0;0;0;0;0;0;0;
"";"NCH1.1.1.1";2;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;
"";"NCH1.1.2";2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;
"";"NCH1.1.3";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH2";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"";"NCH2.1";;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;0;;
"";"NCH3";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;
"Neurologie";"NEU1";2;80;3;0;0;0;2;1;0;1;2;0;0;5;1;0;0;0;3;0;0;0;0;100;0;0;1;0;0;1;4;13
"";"NEU2";3;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;0;0;0;3
"";"NEU2.1";0;8;0;1;0;0;0;0;0;0;2;0;0;9;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;
"";"NEU3";23;379;1;4;0;0;5;0;4;1;3;0;0;3;0;0;0;0;0;0;0;0;0;423;0;0;1;0;0;1;18;25
"";"NEU3.1";20;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;0;0;0;0;0;0;0;3
"";"NEU4";3;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;0;19;0;0;0;0;0;0;0;
"";"NEU4.1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;12;0;0;0;0;0;0;0;
"";"NEU4.2";4;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;31;0;0;0;0;44;0;0;0;0;0;0;0;
"Ophthalmologie";"AUG1";8;42;4;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;55;0;0;0;0;0;0;0;1
"";"AUG1.1";8;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;
"";"AUG1.2";0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;7;0;0;3;1;0;4;0;6
"";"AUG1.3";7;82;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;103;3;0;0;0;0;3;0;16
"";"AUG1.4";1;154;8;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164;1;0;0;1;0;2;0;
"";"AUG1.5";101;61;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;194;1;0;0;0;0;1;0;21
"Endokrinologie";"END1";4;149;0;1;0;0;10;1;3;1;3;1;0;5;1;0;0;0;0;0;0;0;0;179;0;0;0;0;0;0;2;9
