"Spitalname";"BE";"LU";"UR";"SZ";"OW";"NW";"GL";"ZG";"FR";"SO";"BS";"BL";"SH";"AR";"AI";"SG";"GR";"AG";"TG";"TI";"VD";"VS";"NE";"GE";"JU";"Total andere Kantone";"ZH";"Ausland";"Total"
"Universitätsspital Zürich";260;439;53;1209;50;36;238;430;29;178;71;161;594;44;17;1126;486;1983;963;363;44;59;11;21;3;8868;29057;780;38705
"Kantonsspital Winterthur";28;14;3;42;1;0;17;25;7;13;5;19;1161;11;3;240;49;101;1098;15;4;8;0;5;1;2870;23625;199;26694
"Stadtspital Triemli";45;67;36;812;13;8;88;432;5;23;8;15;360;19;2;155;78;879;185;19;9;12;2;5;0;3277;21228;241;24746
"Klinik Hirslanden";89;241;32;586;22;20;87;322;18;73;32;59;243;50;22;749;325;1002;379;280;28;42;3;11;1;4716;14315;508;19539
"See-Spital Standort Horgen";15;19;0;404;1;1;13;67;3;4;2;6;4;0;0;140;15;54;17;6;1;3;2;1;0;778;6588;49;7415
"See-Spital Standort Kilchberg";5;13;4;98;2;2;7;24;0;9;1;0;8;0;0;31;4;105;12;6;1;3;0;0;2;337;1766;6;2109
"Spital Uster";7;8;2;20;2;2;5;7;3;11;0;3;15;1;1;50;11;40;40;2;2;1;0;1;0;234;10072;64;10370
"Spital Limmattal";26;28;2;39;0;3;8;23;6;17;33;51;10;0;0;32;17;1642;25;8;5;4;1;2;0;1982;10709;74;12765
"Spital Bülach";10;5;1;9;1;3;1;4;4;7;0;6;119;4;2;18;19;125;21;1;0;0;0;1;0;361;9592;143;10096
"Spital Zollikerberg";18;11;2;55;1;1;7;23;0;10;4;6;22;3;0;102;36;141;44;25;0;5;0;2;1;519;10840;69;11428
"GZO AG Spital Wetzikon";11;7;3;68;0;0;8;3;0;1;1;3;12;1;0;270;8;20;25;4;1;1;1;0;0;448;9428;56;9932
"Stadtspital Waid";18;14;3;29;1;0;5;11;3;10;0;6;16;2;0;19;17;108;18;16;2;2;1;3;0;304;8219;92;8615
"Schulthess Klinik";64;146;39;309;9;24;82;162;10;82;20;36;181;19;5;299;139;825;243;313;26;44;6;9;2;3094;4945;255;8294
"Kinderspital Zürich";78;96;12;313;7;13;28;87;5;65;15;27;163;6;2;264;76;611;112;74;13;14;2;10;3;2096;5902;214;8212
"Spital Männedorf";15;8;0;104;1;4;16;20;0;6;5;2;21;3;1;1219;17;47;25;17;2;2;1;0;0;1536;6723;69;8328
"Universitätsklinik Balgrist";87;108;27;221;9;12;52;83;12;96;9;29;91;9;0;225;87;519;143;92;10;26;2;3;7;1959;4456;118;6533
"Spital Affoltern";6;14;1;13;1;0;0;211;2;1;0;1;1;0;0;6;1;130;3;1;0;0;1;1;0;394;2147;22;2563
"Limmatklinik";40;22;2;31;1;1;13;15;7;20;2;9;19;2;0;39;23;212;39;12;10;11;2;9;0;541;1460;18;2019
"Klinik Lengg";35;59;6;25;3;3;8;15;0;15;16;21;40;5;0;49;33;94;49;11;3;3;1;0;0;494;433;14;941
"Uroviva Klinik für Urologie";1;14;0;11;0;0;2;3;0;1;0;0;15;0;0;3;2;28;4;4;1;2;0;0;0;91;1288;18;1397
"Adus Medica";7;4;0;9;1;1;3;14;1;2;1;0;4;1;0;10;4;136;9;1;0;1;0;2;0;211;560;8;779
"Klinik Susenberg";0;0;0;5;0;1;2;1;0;0;0;1;0;0;0;2;0;5;1;1;0;0;0;0;0;19;178;0;197
"Sune-Egge";0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;1;2;0;0;0;0;0;0;0;6;148;3;157
"Spitäler mit Zürcher Leistungsauftrag";865;1337;228;4412;126;135;691;1982;115;645;225;461;3099;180;55;5049;1448;8809;3455;1271;162;243;36;86;20;35135;183679;3020;221834
"Geburtshaus Zürcher Oberland";0;2;0;15;0;0;4;2;0;0;0;0;6;0;0;77;2;2;28;0;0;2;0;0;0;140;678;0;818
"Geburtshaus Delphys";2;0;0;4;0;0;0;6;0;0;0;0;2;0;0;3;0;26;3;0;0;0;0;0;0;46;496;0;542
"Geburtshäuser mit Zürcher Leistungsauftrag";2;2;0;19;0;0;4;8;0;0;0;0;8;0;0;80;2;28;31;0;0;2;0;0;0;186;1174;0;1360
"Klinik Im Park";20;102;10;752;17;7;50;150;3;17;7;44;47;4;3;111;142;347;50;44;6;6;0;0;0;1939;4632;131;6702
"Privatklinik Bethanien";9;20;8;85;4;6;9;42;4;11;4;10;46;0;2;64;32;209;44;22;9;1;0;3;0;644;3135;17;3796
"Klinik Lindberg";1;7;1;5;1;2;1;3;0;2;0;1;65;3;0;30;3;19;166;1;1;1;0;0;0;313;1389;6;1708
"Klinik Pyramide am See";11;27;1;69;1;2;4;30;3;8;7;4;10;2;1;39;21;87;19;24;5;2;1;2;0;380;991;111;1482
"Klinik Tiefenbrunnen";9;1;0;5;0;0;0;4;0;0;0;0;0;0;0;3;0;2;0;1;1;0;0;0;0;26;57;3;86
"Spitäler ohne Zürcher Leistungsauftrag";50;157;20;916;23;17;64;229;10;38;18;59;168;9;6;247;198;664;279;92;22;10;1;5;0;3302;10204;268;13774
"Total Kanton Zürich";917;1496;248;5347;149;152;759;2219;125;683;243;520;3275;189;61;5376;1648;9501;3765;1363;184;255;37;91;20;38623;195057;3288;236968
"Spitäler Schaffhausen";14;2;0;8;0;0;4;3;2;5;2;2;7993;2;0;17;3;18;424;6;2;1;1;0;0;8509;1079;468;10056
